"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010",261.156859738987,-0.0673841001563508,0.131832447269656,0.602015727276918,0.63175341055285
"AT1G01020",735.379820492471,0.0259302715341113,0.0797265687678562,0.739882141115503,0.763174367163153
"AT1G01030",467.079887058757,0.680560343835641,0.113240983022597,1.42575903942805e-09,2.51760765633846e-09
"AT1G01040",3572.60105881827,0.0965175881869693,0.0422910457994885,0.0205413107268919,0.025556941927235
"AT1G03993",14.2850973901805,-0.317785651804684,0.467936032512394,0.449116942440082,0.482010804547429
"AT1G01050",2593.94512672622,-2.58690250251481,0.0573282416407179,0,0
"AT1G01060",3153.99528079416,-4.31342259920014,0.0883661053326934,0,0
"AT1G01070",221.948247846762,-2.92992758443179,0.186121907688934,4.70026922644923e-57,2.02175560999983e-56
"AT1G01080",2290.17873930136,-2.35052293870495,0.0675766195239795,3.87712413185671e-266,6.08692989061912e-265
"AT1G01090",8851.05714033419,-1.52587190323105,0.03296332105742,0,0
"AT1G01100",16384.3316435184,0.725155396428025,0.0405312776992548,1.02583665074285e-71,5.14790973510788e-71
"AT1G01110",1087.98556517956,2.58134268317879,0.0777200217653546,5.04223356130821e-243,7.23439460335922e-242
"AT1G01120",3436.91931060158,-2.06813137783351,0.0485735661855058,0,0
"AT1G01130",201.994239842219,0.628478286314876,0.154665498560485,3.84277109607405e-05,5.63101159014262e-05
"AT1G01140",3712.4575371881,-1.61319152873217,0.0431227769507976,6.33139381479525e-307,1.14960380428482e-305
"AT1G01150",18.5628855498282,0.0898228036421692,0.527079505171641,0.845672970832452,0.862841924365664
"AT1G01160",2720.03828699823,0.455612309473101,0.0458849721778901,2.77157765384294e-23,7.16818794845633e-23
"AT1G04007",65.8519253033437,-0.814423612939849,0.267654135583238,0.00155539845017079,0.00208626022908978
"AT1G01170",2688.32368561198,-1.06777054530147,0.059899805496049,2.27525758032441e-71,1.13866431609536e-70
"AT1G04013",7.51817414830576,0.652681838458239,0.640797266462483,0.219359871789188,0.245980129532318
"AT1G01180",356.450877296276,-3.14963680137053,0.135671988589285,1.85248409024465e-120,1.40870781855672e-119
"AT1G08765",48.4864066475887,1.28931450107888,0.330025586960064,3.46523318544609e-05,5.08917941382162e-05
"AT1G01190",50.4972213027263,-5.0023094385674,0.519220954895371,9.43451527574843e-23,2.41327649511793e-22
"AT1G01200",37.1932117817325,-1.65738257228961,0.361922171726104,1.0049134193671e-06,1.5847332433686e-06
"AT1G01210",936.194453659,0.540504336184583,0.0715968629867504,3.72553662548975e-14,7.68996860149521e-14
"AT1G04017",2.02926875134622,0.404648697287721,0.915590146898412,0.537921891210145,0.569121071060574
"AT1G01220",1580.82559340093,-0.19628719647909,0.0445316264982422,1.02200742570471e-05,1.54173210407849e-05
"AT1G04023",1.47555758507304,0.23274430138619,1.02340829051609,0.736234638833824,0.75995382327808
"AT1G01225",286.83109523643,-0.373388604550598,0.153933215133234,0.0137658943159613,0.0173700741185062
"AT1G01230",938.282874269654,-1.71784225051689,0.0800857950373949,8.91786747425385e-103,5.96913018912194e-102
"AT1G01240",1095.71840234673,-0.512606462496679,0.0702224138926596,2.49547409488415e-13,5.02826232268308e-13
"AT1G01250",122.65322473292,-1.59696384507063,0.227003102405344,4.68319864109079e-13,9.349392203601e-13
"AT1G01260",1614.30490161434,1.18027177388101,0.0497585037531474,9.86867642223737e-125,7.73566908603665e-124
"AT1G01280",3476.83402910213,13.9260661929297,1.16872199777481,1.08188305985532e-35,3.48826710244226e-35
"AT1G01290",868.609163929202,0.793510410343065,0.070012453634704,6.22174465338996e-30,1.82107922190897e-29
"AT1G01300",8499.01802120368,0.160545066147931,0.0414091530304045,0.000103792687387502,0.000148940908090121
"AT1G01305",0.843588605046829,0.271500165739149,1.81930938759583,0.756198785992086,NA
"AT1G01310",43.2130962360646,8.35645597941892,1.16317893334516,9.22828611043303e-14,1.88208016303735e-13
"AT1G01320",18920.7337031996,-1.00779673690549,0.0230886526944627,0,0
"AT1G01340",256.376548820885,-0.84377725113303,0.151320331717106,1.62033061043661e-08,2.75312988941854e-08
"AT1G01350",1526.28423557639,0.411878585626818,0.0655357325904606,2.99435095546545e-10,5.4232908002204e-10
"AT1G01355",32.944059467621,3.84450802131009,0.605402829919834,1.36947910820526e-11,2.60640962922753e-11
"AT1G01360",764.977944743949,-0.0818254920594073,0.0782774925422,0.284473261512888,0.314391330666129
"AT1G01370",805.988464234556,0.64075398934238,0.104583233498245,7.10935508572717e-10,1.26881887493761e-09
"AT1G01380",15.7814609935922,-2.1878546601815,0.633056667003524,6.04913802428027e-05,8.7808007333121e-05
"AT1G01390",91.2479093649768,-7.4838536629842,0.588467718401597,1.07130555413747e-37,3.56410379804419e-37
"AT1G01400",275.010910461453,8.11824441008804,1.15294350754022,2.86148197690079e-13,5.75604709095586e-13
"AT1G01410",3.99379288565349,2.22954834287957,1.52195227463739,0.0207757399436387,0.0258369188441813
"AT1G01420",208.774657284661,-7.049353295146,0.397116187067853,4.48451098912571e-71,2.23615467243e-70
"AT1G01430",1881.21019859377,-3.37233808634464,0.0583749070988929,0,0
"AT1G01440",1313.7068390668,-0.264672002026975,0.0668862201146305,7.28664684018431e-05,0.000105404084212096
