"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010",311.557159419963,-1.5186096317084,0.122182760324792,1.78615203854425e-36,6.3448089635844e-36
"AT1G01020",1124.34768594741,0.0629411892154483,0.0646977652250449,0.328374852467537,0.381611924150751
"AT1G01030",672.820818107639,0.471209815350252,0.0932886800293612,3.31832858223294e-07,5.91196707718813e-07
"AT1G01040",5282.95175124034,0.558449075499647,0.034498086070955,4.14806390597321e-59,1.98622470904589e-58
"AT1G03993",18.4108956417724,-0.0630046969526253,0.427437234274125,0.858432464168068,0.893685407464643
"AT1G01050",4486.55259721379,0.0395596393918014,0.0447197024796252,0.375303506805807,0.430291990808235
"AT1G01060",1588.39009971784,1.58821024584618,0.121351233347478,3.82052405995683e-40,1.43546537969624e-39
"AT1G01070",161.617118001702,-6.03460180403882,0.270582728557342,1.18587884619922e-110,9.06516791755846e-110
"AT1G01080",3302.34247114171,-0.887226803741256,0.055699442813516,1.29494579665842e-57,6.09113542704801e-57
"AT1G01090",11659.5124757845,0.143423374531017,0.0343265523563776,2.86772293139368e-05,4.67416257321648e-05
"AT1G01100",23602.2476762371,0.701465546881279,0.0420054986554282,6.84876452685672e-63,3.42176596164696e-62
"AT1G01110",1777.47499728559,2.48813341721318,0.0680956842634118,1.82210289330947e-293,3.72883119126554e-292
"AT1G01120",3719.85072513095,1.31284236242166,0.0456868312057456,1.52265668192265e-182,1.8722820815795e-181
"AT1G01130",331.210090251938,2.63390639279632,0.15337730898933,2.45312765011252e-67,1.28217696415418e-66
"AT1G01140",4389.81955313964,0.162061857570367,0.0354016222313255,4.55609054590064e-06,7.70361363796199e-06
"AT1G01150",32.3289023097575,1.19235453369306,0.417111593183256,0.000740314976546745,0.00111881311099215
"AT1G01160",5007.79275946766,0.742825612991101,0.042129413966446,6.59530710159155e-70,3.54108548673435e-69
"AT1G04007",112.828915934003,-0.291078596430778,0.210818769252166,0.146492721521473,0.180724395503895
"AT1G01170",4218.55241741046,-0.272409727926487,0.0534141672432092,3.11065395769786e-07,5.54987575648543e-07
"AT1G04013",5.04319108169447,-1.38794597264737,1.01151552203211,0.0279098832162245,0.0374086304458204
