"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010",261.156859738987,-2.14549480579748,0.117165721511631,3.9078289538121e-76,2.51481577373155e-75
"AT1G01020",735.379820492471,0.327715097013688,0.0765181119271061,1.65436302038927e-05,2.7497672467173e-05
"AT1G01030",467.079887058757,-0.0550606285512757,0.114260879855336,0.625560262519537,0.703215531047763
"AT1G01040",3572.60105881827,0.826442703964588,0.0427863286315985,2.26277839592711e-83,1.57118643418965e-82
"AT1G03993",14.2850973901805,0.169445581038271,0.448778737306354,0.66387299319905,0.740059210866989
"AT1G01050",2593.94512672622,-0.663316237059838,0.0487637503302894,2.69802649418884e-42,1.11489996644226e-41
"AT1G01060",3153.99528079416,-5.53914961579475,0.0924892266052786,0,0
"AT1G01070",221.948247846762,-5.76424750176753,0.193380837341884,1.06309787500956e-195,1.76013571505749e-194
"AT1G01080",2290.17873930136,-1.47831104254563,0.0667059222485367,1.43395861532728e-109,1.27986926187432e-108
"AT1G01090",8851.05714033419,-0.786557496025655,0.0333506873583416,3.35248541357288e-123,3.37878830893808e-122
"AT1G01100",16384.3316435184,-0.148118526921772,0.0425681417561015,0.000489870742623024,0.00075985675696931
"AT1G01110",1087.98556517956,1.91207851953822,0.0695630501209038,2.03670784355407e-167,2.8271060621145e-166
"AT1G01120",3436.91931060158,-1.37855945846307,0.0510722078781549,3.92237007785633e-161,5.21384804015497e-160
"AT1G01130",201.994239842219,0.364387069969484,0.146450932245889,0.01120553523037,0.015832892136141
"AT1G01140",3712.4575371881,-1.22308167759417,0.0426401009950792,1.7649732219712e-181,2.6850297070539e-180
"AT1G01150",18.5628855498282,1.26077460777777,0.540902409925788,0.00512227378189258,0.0074161486226177
"AT1G01160",2720.03828699823,0.948593086518714,0.0418107014225218,2.79503291900266e-114,2.61039081955867e-113
"AT1G04007",65.8519253033437,0.249340878061033,0.220214650041159,0.238653770018266,0.293329469793557
"AT1G01170",2688.32368561198,0.316406503254898,0.0599106744182857,1.15817559643684e-07,2.11663390721842e-07
"AT1G04013",7.51817414830576,-0.55026842417622,0.590711910697976,0.242897649630379,0.298213551713132
"AT1G01180",356.450877296276,-1.55066398082924,0.127029685463654,4.40170663115495e-35,1.61035675204615e-34
"AT1G08765",48.4864066475887,1.54736306851578,0.340266746825625,8.43837225635496e-07,1.48444820249035e-06
"AT1G01190",50.4972213027263,-5.89389562061972,0.55632719351432,9.72798810958097e-27,3.04787112743621e-26
"AT1G01200",37.1932117817325,-2.13016121365849,0.285300269417918,4.95051891290178e-15,1.16481418476472e-14
"AT1G01210",936.194453659,0.32991803947193,0.063852789103628,2.13295871471477e-07,3.85391267224018e-07
"AT1G04017",2.02926875134622,0.100401656841265,0.891285742078305,0.860601899941939,0.915268639714141
"AT1G01220",1580.82559340093,-0.142283765473805,0.0434353698577494,0.0010291888824081,0.00156569101957765
"AT1G04023",1.47555758507304,-0.701808031088077,1.32672784950191,0.317206422930087,0.382511362635044
"AT1G01225",286.83109523643,0.520976919605969,0.141537319623257,0.000181637965853608,0.000287781746856418
"AT1G01230",938.282874269654,0.0686240096888525,0.0698936807845395,0.323184942840028,0.389248208313875
"AT1G01240",1095.71840234673,1.06050843111779,0.0797345874246589,8.9828402676363e-41,3.62059244868944e-40
"AT1G01250",122.65322473292,0.38054948171263,0.212396309624066,0.0628405216133955,0.0830719138184178
"AT1G01260",1614.30490161434,0.552688739762864,0.0492505255955102,2.46514509142446e-29,8.13392861717732e-29
"AT1G01280",3476.83402910213,13.0988479818877,1.0142586292229,3.51053343700335e-40,1.40111045251873e-39
"AT1G01290",868.609163929202,0.508958747517946,0.0699821998968546,2.81648099137805e-13,6.2681477488648e-13
"AT1G01300",8499.01802120368,1.12200279899071,0.0408136939808701,7.92092201868478e-167,1.09591141133168e-165
"AT1G01305",0.843588605046829,0,1.72159670487901,1,1
"AT1G01310",43.2130962360646,2.75635209931407,0.397904251460275,1.69251280100079e-13,3.79392752880221e-13
"AT1G01320",18920.7337031996,-1.27143745976936,0.0240099064069322,0,0
"AT1G01340",256.376548820885,-0.953352413139261,0.133367082737651,4.08819836864353e-13,9.05241754828103e-13
"AT1G01350",1526.28423557639,0.364149773519695,0.06712431550176,5.08942083383968e-08,9.44367845651517e-08
"AT1G01355",32.944059467621,4.30224431122714,0.488208735605788,1.56936208835659e-19,4.19237441351767e-19
"AT1G01360",764.977944743949,1.45577442575933,0.0766122490664023,3.05857987067679e-81,2.07682381649373e-80
"AT1G01370",805.988464234556,1.10133759458712,0.091515056170483,8.49766184948284e-34,3.03908938483485e-33
"AT1G01380",15.7814609935922,-1.7626239390145,0.532495209240317,0.000101931694343656,0.000163567109349
"AT1G01390",91.2479093649768,-5.12945995323967,0.349978539884959,3.39414309393267e-49,1.55427554525786e-48
"AT1G01400",275.010910461453,9.33190241830601,1.01245021226774,2.49234339115823e-21,6.95410708204266e-21
"AT1G01410",3.99379288565349,4.93382323234205,1.56174097544812,8.47153212647354e-05,0.000136528553121979
"AT1G01420",208.774657284661,-6.26545596267555,0.324687954656491,1.8576975407253e-83,1.29051520066889e-82
"AT1G01430",1881.21019859377,-2.21921611692984,0.0567250115241657,0,0
"AT1G01440",1313.7068390668,-0.333419855227996,0.0697138956130447,1.54620888474953e-06,2.69143841967792e-06
"AT1G01448",872.570800924379,1.39416948824579,0.0782177013714122,9.59488481586358e-72,5.89702531000962e-71
