"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010",311.557159419963,-0.0221213893985186,0.0871460222635462,0.723014857785199,0.845880604325126
"AT1G01020",1124.34768594741,-0.0534131469866995,0.0605685816706367,0.303685865454666,0.491630519757544
"AT1G01030",672.820818107639,0.227535419047338,0.0814953599876277,0.000338913228596582,0.00201786948181141
"AT1G01040",5282.95175124034,0.0946710298769329,0.0321773803942615,0.00211975495810501,0.00977940217976607
"AT1G03993",18.4108956417724,0.00909182676948564,0.207579295555339,0.861365290811203,0.935068073998223
"AT1G01050",4486.55259721379,-0.139519769709721,0.0414086419706692,0.000278115391482002,0.0016975034571005
"AT1G01060",1588.39009971784,1.15963874240237,0.0509499736434878,4.21610598640361e-116,1.73884256896389e-113
"AT1G01070",161.617118001702,-0.105788784045689,0.131791160321978,0.142658136056314,0.290501378243976
"AT1G01080",3302.34247114171,-0.345766580261317,0.0587796112809785,4.42632373866136e-11,8.5381714700548e-10
"AT1G01090",11659.5124757845,-0.0506508611444484,0.0323399693337722,0.102266364422233,0.227732854540871
"AT1G01100",23602.2476762371,-0.0672046530940862,0.0392159195929564,0.0678924392369711,0.166939457622241
"AT1G01110",1777.47499728559,-0.0695079549857955,0.0444843181650654,0.0898873821005008,0.206119834888122
"AT1G01120",3719.85072513095,-0.0168150376915958,0.0382025218107973,0.640615409459393,0.787706591858131
"AT1G01130",331.210090251938,0.0910812348890985,0.0945125991101884,0.164973102375057,0.323557979997819
"AT1G01140",4389.81955313964,0.0377973759190231,0.0349328639440999,0.255686745821577,0.439128237797362
"AT1G01150",32.3289023097575,0.00107679374787949,0.150512446802686,0.98582577226829,1
"AT1G01160",5007.79275946766,0.134380995063958,0.0371149588417573,0.000119214675700249,0.000793227892117684
"AT1G04007",112.828915934003,-0.721982752376204,0.534938801241167,0.000940580268684897,0.00488001140599834
"AT1G01170",4218.55241741046,0.0284173785793667,0.0496884408262349,0.526714478551484,0.702846217419867
"AT1G04013",5.04319108169447,0.0185499746977505,0.262208553277379,0.622204368896722,0.774937020278186
"AT1G01180",289.018735919194,0.181291366003397,0.134440175134114,0.0228932089862806,0.0709826072900393
"AT1G08765",67.9263896184994,-0.151981839887721,0.164515870343266,0.0615970171273541,0.154665181293008
"AT1G01190",20.1449855073205,-0.194667873135988,0.361587936744088,0.0365367281780925,0.103166030020797
"AT1G01200",44.4605772433894,0.0761631808284254,0.162556262725276,0.269495517670633,0.454813070644067
"AT1G01210",1485.64768494375,0.0287231365578431,0.0591842356828727,0.57421840255836,0.740479267143475
"AT1G04017",2.10284580445994,0.0320942071839927,0.2885804871696,0.372900032333984,NA
"AT1G01220",2209.0596690245,0.157672884306558,0.0409110741231112,3.21357304247118e-05,0.000243506177785152
"AT1G04023",1.27925063572014,0,0.268325772676756,1,NA
"AT1G01225",512.5868199005,0.01318907356745,0.0800097842304182,0.827542992678427,0.914014182529977
"AT1G01230",1575.35373111711,0.00967430796140498,0.0537904304986819,0.839359845410948,0.921053007238584
"AT1G01240",1235.85282724076,-0.145761677733006,0.0626936643124098,0.00598087988023166,0.023467411949269
"AT1G01250",201.518536915202,0.0678645733633177,0.105468129469555,0.307025732708992,0.495155459808686
"AT1G01260",2038.74021698859,0.123977125593357,0.0451023588557057,0.00268387190803072,0.0119675722990153
"AT1G01280",4868.7825442113,0.118283425233355,0.0406887887323115,0.00179470656413807,0.00849551114155574
"AT1G01290",1198.59146495655,0.123659690804563,0.0486546679305056,0.00488066116824228,0.0198209157759361
"AT1G01300",17596.5536647111,0.0658223626309694,0.0343341002962139,0.044225142359248,0.119461677297052
"AT1G01305",2.25276604212851,-0.069633256711447,0.319077291077478,0.146252274855239,NA
"AT1G01310",65.8453351901683,0.00592915556396299,0.111626215600484,0.926074130834889,0.971895312282208
"AT1G01320",20835.4302880632,-0.082653076282499,0.0239681076506482,0.000413560264154479,0.00240338544923414
"AT1G01340",408.152786357754,0.0236549108018811,0.0935948019557174,0.709609279117998,0.837167539925669
"AT1G01350",2198.29424673851,0.0552082093700563,0.0543296054219198,0.250548437493815,0.433758871023338
"AT1G01355",43.7403642901108,-0.0404190524947521,0.151442127080499,0.525123592849104,0.70168610506548
"AT1G01360",1214.58180064925,0.0131400256618755,0.0570158743767921,0.791898917604079,0.891504428379275
"AT1G01370",1701.15659600685,0.0262007808920779,0.0484880064254034,0.551791708225769,0.723954956313379
"AT1G01380",20.4310931379775,-0.0795307995333008,0.218423778454234,0.235399508759352,0.41558133167254
"AT1G01390",35.8390224915784,0.0329895517644134,0.163603242349171,0.592589265107721,0.753658682099556
"AT1G01400",598.51355363918,0.691314000339908,0.0909668801085198,1.63848816661981e-15,4.77273968982988e-14
"AT1G01410",7.94928749271312,0.00444785372493171,0.189899222254412,0.936046759603265,0.977622918030856
"AT1G01420",161.687597104672,-0.0706667552966095,0.243725450843037,0.246632491748962,0.429363620309097
"AT1G01430",1597.10888744867,0.119911800428954,0.054211895624192,0.0121338777962274,0.0422463828712198
"AT1G01440",1663.89713952611,-0.0544243615961398,0.0526446120928652,0.246084307481356,0.428696517686093
"AT1G01448",1575.33034558012,-0.0523125449670126,0.0505571457385653,0.250060370289114,0.433241221659136
"AT1G01450",28.7545903975229,-0.145815874751977,0.31982279548887,0.0667527695593241,0.164651339610776
"AT1G01453",12.2747213439801,0.38024108148678,0.546306061836973,0.00671647364623162,0.0258233404483629
"AT1G01460",40.7300447325592,0.0737205087276636,0.15145523063965,0.282950555331905,0.470160790381076
"AT1G01470",1787.2085556659,-0.774297155299325,0.0829266326143258,4.97319004681377e-22,2.17173776447668e-20
"AT1G01480",386.071676525505,-0.0175066162611351,0.14328345134879,0.777355769553932,0.882511249194732
"AT1G01490",3715.44648673012,0.00644650883253923,0.048333335370353,0.883319169854825,0.947398743453853
"AT1G01500",1503.3385511349,0.0579422732355022,0.0526060265858827,0.216565057930349,0.392509061119158
"AT1G01510",6203.9806051635,0.0665221332278364,0.0364049477465428,0.0536748498588098,0.139184992403339
"AT1G01520",58.1601079073836,0.0681550623355427,0.142112815720987,0.315236176852097,0.504110141749633
"AT1G01530",1.08310971656275,0.0208946657748923,0.294053250582171,0.490978764761117,NA
"AT1G01540",5127.36158599589,-0.109103995214247,0.0355016816186168,0.00118165703434776,0.00592950844408222
"AT1G01550",8670.94314647985,-0.0771770432867163,0.0240810679766738,0.00103021902806316,0.00526518115778227
"AT1G01560",622.421962051108,-1.05067585807419,0.142514945387029,6.05516855569366e-15,1.6899188462147e-13
"AT1G01570",480.209374538983,0.052066481772307,0.0753614523388849,0.378590103367655,0.567459282134513
"AT1G01580",31.0711421126874,-0.0128800500437796,0.152348703410234,0.832163875560696,0.916813307839508
"AT1G01590",296.571643547267,0.071081232717855,0.0806284551494668,0.245586467818955,0.428087561608743
"AT1G01600",3105.38597028137,0.0875263911075395,0.03216113651354,0.00449192780189581,0.0184892001811624
"AT1G01610",7707.57454341563,0.198805631801753,0.0385874879080474,3.14935820322137e-08,4.20502436764136e-07
"AT1G01620",33179.260428735,-0.166447044510432,0.02374807047536,6.06879759527677e-13,1.42315494510899e-11
"AT1G01630",2842.28763134074,0.189829228200815,0.0526943840464866,4.48383173414567e-05,0.000328548787220268
"AT1G01640",294.936798560619,0.324801200589347,0.122618882985995,0.000160617649626066,0.00103633682399654
"AT1G01650",4163.10567791847,0.00546616459536392,0.0350859701495908,0.869983850657578,0.939634634062262
"AT1G01660",230.015061109868,0.233139935054661,0.149293810645007,0.00773414435428955,0.0290609215845995
"AT1G01670",383.946909091705,0.275684437628664,0.119329762093939,0.000715707159893454,0.00385893735951683
"AT1G01680",31.8684890643924,-0.621509562255135,0.828134091270715,0.00167655101302363,0.00801210685513942
"AT1G01690",1477.83876914864,-0.0263049815917349,0.0472768928117052,0.542039749071573,0.715110414387405
"AT1G01695",71.4278672774688,-0.0372992772151382,0.12639308842465,0.564057880172768,0.733089030638707
"AT1G08775",0.898101422315069,0.00535329734604948,0.272723953717507,0.866093388601553,NA
"AT1G04037",1.13108211628304,0,0.273208838452242,1,NA
"AT1G01700",99.4126314203415,0.172585833055545,0.153134317638919,0.0361051829924813,0.102214095630164
"AT1G01710",3590.67357600135,-0.0438855677047834,0.038587373791969,0.226946117714657,0.405330009388227
"AT1G01715",590.367313980617,0.0112406748223509,0.0706148323478725,0.843812231642605,0.924040219646952
"AT1G04043",2.10406986231407,-0.0167397600708251,0.255954954042207,0.668338232952551,NA
"AT1G01720",3479.3893695343,0.358216310152581,0.0590379169786346,1.39811699098504e-11,2.85816473459988e-10
"AT1G01725",658.518516839988,0.0623396457791064,0.0695196207216464,0.271206141207864,0.4565730962164
"AT1G04047",21.0939124770914,0.17133285343171,0.375043594560549,0.0406999096710572,0.112142709754303
"AT1G01730",2546.11428887599,0.219269457349358,0.0507086691581358,1.15739486023007e-06,1.19005107452939e-05
"AT1G01740",530.554055370641,0.0139712896640715,0.0795651307265274,0.817092606260132,0.907636150162756
"AT1G01750",36.6418139421749,-0.0366419603340355,0.167172751342529,0.553633123829857,0.725125993369854
"AT1G04053",60.6716690877844,0.060551992931036,0.137009116733529,0.365281027180045,0.554386502874947
"AT1G01760",313.555065688003,-0.0597649121245726,0.0835381552665229,0.335022111556085,0.523664773179436
"AT1G04057",0.963511233727355,0,0.278277461040573,1,NA
"AT1G01770",1719.81469124515,0.0299361676822378,0.0451905894017133,0.471483510348014,0.65437069099614
"AT1G01780",829.503791223668,0.0306041387354182,0.073960917949907,0.600781237489036,0.759862534693984
"AT1G01790",5306.48817735379,-0.182630024863287,0.0330199811406222,5.6404941694344e-09,8.43250632936789e-08
"AT1G01800",4592.41987322976,0.010618663915634,0.0429692914587632,0.789967271532535,0.89044812009153
"AT1G01810",120.193216197669,0.144462581530441,0.134252188705969,0.0587148519964304,0.149012307034895
"AT1G01820",4982.10635751331,-0.114372382085696,0.0385798375236428,0.00157545349324317,0.00759321241234229
"AT1G01830",3409.7861103385,0.139155198132577,0.0416291165759241,0.000307509767232097,0.00185254492974532
"AT1G04067",13.9488005482884,0.0708003925351558,0.238565540135305,0.252259756046013,0.435611308390685
"AT1G01840",211.589813057871,0.000952267490928376,0.101036283746441,0.988111295799971,1
"AT1G01860",894.274412757917,-0.0293330103723736,0.0690392757428057,0.602771839958129,0.761153393433957
"AT1G04073",1.99827737345916,0,0.262850404929093,1,NA
"AT1G01880",567.237087871023,-0.0332626536769397,0.0702722635239483,0.559065781006264,0.729007637653607
"AT1G01890",0.539607589429574,-0.00390438954104039,0.289592376440465,0.884428626742802,NA
"AT1G01900",751.489173177894,-0.0769561975413431,0.0624072099439642,0.146294570935757,0.295697601908578
"AT1G04077",23.2836327094574,-0.0328065756645137,0.185460466471452,0.57991793424744,0.744188867184957
"AT1G01910",4418.53831449323,-0.0024206098021334,0.0378118895301132,0.945936999933417,0.98387899080381
"AT1G04083",76.5419178623116,-0.0533395571073604,0.207076663727197,0.381645591406411,0.570446068327822
"AT1G01920",3465.92689060438,0.0852600550450631,0.0396473325373688,0.0216604549539288,0.0678403569271855
"AT1G01930",1892.42662202265,0.107892690919097,0.0493984389166025,0.0153853200193873,0.0512508679568897
"AT1G01940",1587.11231611358,-0.171859926632879,0.0520078291184033,0.000193018966132072,0.00122173247186592
"AT1G01950",2460.60491412592,-0.0574982809277083,0.0371141369792768,0.101234700399315,0.225974276518059
"AT1G01960",11161.9356927301,0.163325117064083,0.0299733657647624,1.32765170577336e-08,1.87582241822236e-07
"AT1G01970",1639.32474411601,-0.0197439314670062,0.0527246094767104,0.67446519284568,0.813170113020709
"AT1G01980",59.6452816053884,0.000851539055155844,0.120942207980335,0.98927175943996,1
"AT1G01990",2051.03056712724,0.12930593361391,0.0663377097363901,0.018962421654451,0.0608347452583778
"AT1G02000",1208.61341995545,0.172876541447178,0.0486422628010418,7.67061422698813e-05,0.000532191106701822
"AT1G02010",1372.00403138609,0.0855660234907936,0.0535618097868412,0.0715224000179857,0.173565566420783
"AT1G02020",1249.64005540985,-0.0220940415874431,0.0535024111405915,0.642031278737954,0.78863087105542
"AT1G02030",176.244802042048,0.084759483520814,0.11263996934526,0.214728613885297,0.390330501309333
"AT1G02040",203.523351601896,0.0673911335695549,0.0858097058046801,0.282980236532587,0.470180041298517
"AT1G02050",16518.5594421492,0.304475239999685,0.0231908642601523,2.70906827232502e-41,2.48726929045304e-39
"AT1G02060",1506.9722279779,0.101531090273647,0.0576898527466652,0.0427704594765866,0.116363115044394
"AT1G02065",8453.05900500481,0.145701162318979,0.0499787788152507,0.00114141652062536,0.00575313781870197
"AT1G02067",27.088311182966,-0.0134911268810513,0.175203580632464,0.816691118687391,0.907306539116405
"AT1G02070",194.711158945286,-0.325189685265176,0.170062486611286,0.00143304789765826,0.0070029873095457
