"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010",207.5840196748,0.139707857892399,0.1211792035161,0.0793463444443974,0.183965204665883
"AT1G01020",632.811510308449,0.0377389541416059,0.0635255075014884,0.471785170061323,0.651490813658285
"AT1G01030",417.161425849584,-0.019787173683537,0.0895038938305908,0.761028066602281,0.886374645641121
"AT1G01040",3069.10403912088,0.0472201127379427,0.040291759233447,0.188779307472505,0.350288891906243
"AT1G03993",11.5531976578177,-0.0863535455692518,0.238407497796162,0.332777523483618,0.514439427054675
"AT1G01050",2070.74303311196,0.102431599750629,0.0499887359452143,0.0206571217231686,0.0642239087845176
"AT1G01060",1732.92296527194,1.21025426799992,0.121411341512635,4.42715366930596e-24,2.13718046447506e-22
"AT1G01070",137.44757846843,2.96984721364468,0.910010949204845,1.87125187080426e-06,1.84530826079606e-05
"AT1G01080",1904.14645880701,0.31831227255076,0.0676056139807261,1.67895015851428e-07,1.97544404044461e-06
"AT1G01090",7530.01189044704,0.127669011208246,0.0352230850380149,0.000125237749971847,0.000834835091038656
"AT1G01100",14503.6600737221,-0.0590755254121697,0.0407005231265064,0.105218530729681,0.227962118100663
"AT1G01110",991.082453377642,-0.309379237756675,0.051696510729118,1.7071258684036e-10,2.96271085169278e-09
"AT1G01120",3120.87401291697,-0.355861051274099,0.0525749719668297,8.19603299071222e-13,1.80704621849635e-11
"AT1G01130",189.676465301068,-0.378755503895499,0.135024505295193,0.000171603951874606,0.00110427721100444
"AT1G01140",3464.71072577268,-0.0394145313891445,0.0419623561551209,0.289593753462659,0.468726794502743
"AT1G01150",15.8973930900728,-0.00636331391800799,0.20290154932145,0.935599864013968,1
"AT1G01160",2360.18286998843,-0.19770299216673,0.039252603880569,7.60064172114666e-08,9.45449126466727e-07
"AT1G04007",52.9682466975115,-1.03649164903811,0.260705075003094,3.33279258576024e-06,3.14761971543549e-05
"AT1G01170",2311.36312525179,0.0488207358445656,0.051299241620969,0.270842411559235,0.448341758773222
"AT1G04013",7.37023702789922,-0.0883818403183081,0.324705934990473,0.347015869431927,0.529593267067305
"AT1G01180",331.101694329227,0.997728586796583,0.157266858795643,2.86373163525135e-11,5.4356024736098e-10
"AT1G08765",45.2687735948363,-0.294932142768614,0.271103084689749,0.0207381564046353,0.064386029125327
"AT1G01190",50.7565286482977,-0.0605940204152796,0.266841370236926,0.487876583475533,0.666348569964234
"AT1G01200",27.0318645652452,-0.326065475790221,0.3547402290223,0.0249519707809725,0.0745770570592677
"AT1G01210",782.884843018095,-0.0944768400232117,0.0605122394480354,0.0641895626322579,0.155384292454481
"AT1G04017",2.0202528007522,-0.170511011452586,0.502418358855554,0.117491218980676,0.247416154363717
"AT1G01220",1429.27127242844,-0.0672120691199383,0.0423651722880924,0.0764626277609621,0.178876532263748
"AT1G04023",1.88886646748824,-0.115464709429766,0.465910865272806,0.202364093716118,NA
"AT1G01225",239.3782282136,-0.106814191020963,0.11975881812831,0.166646500973158,0.320159436978832
"AT1G01230",779.777582129813,0.0832618736875559,0.0642874659119669,0.117437362968562,0.247387096692384
"AT1G01240",1063.33577630346,-0.00310660184206347,0.0607727942996709,0.951242842277375,1
"AT1G01250",108.552566238666,0.054776106089772,0.144973993076511,0.481849117345248,0.660883778362035
"AT1G01260",1477.61503671093,-0.118159431606483,0.045675238862426,0.00436311846563179,0.0178608216732339
"AT1G01280",2825.34773480626,3.17827024750341,0.0827035034871607,0,0
"AT1G01290",784.109079949772,-0.00231268708890017,0.0565845270586872,0.961659838978849,1
"AT1G01300",7512.98825856805,0.00573025380647257,0.0366815339544739,0.862504748525389,0.958800689773173
"AT1G01305",0.824480257154454,0,0.438366098245259,1,NA
"AT1G01310",38.2963104224672,-0.352441259268075,0.373619826458737,0.0211535166770592,0.065296589336481
"AT1G01320",16712.2539538022,0.0647491743342017,0.0243009473926725,0.005567855787792,0.0219077144606016
"AT1G01340",217.250497144671,0.0226126401563064,0.11167514547457,0.752114716069062,0.879632482028731
"AT1G01350",1361.0459424055,-0.101248587704486,0.0650367711825934,0.0604214485114851,0.148439391786805
"AT1G01355",25.1643521973457,0.173523150954922,0.310812243793163,0.118712758291883,0.249223173542516
"AT1G01360",642.603932826144,-0.280940622407964,0.0762439804733624,1.82777082017461e-05,0.000147545737442649
"AT1G01370",702.800051829989,-0.104298070897493,0.0672304610944124,0.0591252827310624,0.146141087001805
"AT1G01380",13.0800658142394,1.68664757427438,0.976000271126297,0.000278722755190058,0.00168455624063343
"AT1G01390",81.9897237654893,-0.000451240232884583,0.340477110915746,0.995460196985383,1
"AT1G01400",228.936823039989,1.57387142350886,0.124050410404489,7.55891348921415e-38,6.27812367563799e-36
"AT1G01410",3.24159546704499,-0.0183383832401739,0.334016530577582,0.820624031987238,0.929302168402435
"AT1G01420",175.950486124296,0.209860063771374,0.515801264208392,0.0876030756070367,0.198379056226468
"AT1G01430",1717.84828956953,0.00239542981522508,0.0533828646152044,0.958412434139351,1
"AT1G01440",1201.50580973109,-0.00084879276420005,0.0585658469182035,0.986293269075327,1
"AT1G01448",744.016953154673,0.00500654361087341,0.0650212337926043,0.925264066682854,1
"AT1G01450",16.2059814341074,-0.199724180271369,0.296802372703832,0.0820883053137755,0.188654261176559
"AT1G01453",17.9868427853502,0.124262165698121,0.322182172532663,0.222225470321902,0.393797904736878
"AT1G01460",22.4155539427003,0.288441922420225,0.400006993834637,0.0440585971400745,0.117063331960729
"AT1G01470",1287.48593654024,0.0528959043971851,0.0981863273459832,0.440702191733478,0.62255120514051
"AT1G01480",140.641456939585,0.135993024616199,0.269871461025905,0.175342859674905,0.331990756753675
"AT1G01490",2815.09058563676,0.156306410727753,0.0546646379770831,0.00120008018747796,0.0059910659822672
"AT1G01500",912.478580625081,0.523190986860083,0.0722085728888501,5.90894912576214e-15,1.56000923414988e-13
"AT1G01510",3292.86809147458,-0.0657245750648941,0.0403249160160299,0.0704883151828862,0.167658060872742
"AT1G01520",59.9260447668788,-0.0331831742994458,0.16618076359763,0.669214653930235,0.815932377693649
"AT1G01530",0.433494780658974,0.0162626863374509,0.475961147635234,0.715027826523731,NA
"AT1G01540",3293.59385952941,-0.120281583765011,0.04250603818411,0.00209541283990104,0.0096387549002947
"AT1G01550",5517.10699445954,-0.110655511180757,0.0397935792828817,0.00271833769947826,0.0120442716094842
"AT1G01560",243.585667682779,0.0719685535493571,0.130701896801394,0.352108730851972,0.534629010561511
"AT1G01570",237.596390563059,-0.381688482729463,0.120767168450737,5.39851569070546e-05,0.00039084153411466
"AT1G01580",52.7597781915723,0.0297821699368669,0.242141544137746,0.718355698480521,0.854309178235639
"AT1G01590",153.382218192992,0.0368920517402072,0.123814903443417,0.619302053729563,0.777624025773203
"AT1G01600",1690.22774188779,0.0175471828678187,0.0520803758017265,0.696465193705068,0.837913250431519
"AT1G01610",4239.60354830056,0.208176374017383,0.04211462687207,1.09487404831783e-07,1.32674723825157e-06
"AT1G01620",19572.9798040881,-0.114656916868382,0.0454797524784927,0.00545554568661258,0.0215132872077215
"AT1G01630",1852.2718355855,-0.0766106932613918,0.0571886985030332,0.115192672120106,0.243671688330055
"AT1G01640",154.952566844839,0.127804315478819,0.126724487823425,0.111961933282198,0.238818786385317
"AT1G01650",2341.5208204491,-0.0307171426715264,0.0384385656862479,0.371144751787333,0.554860262831932
"AT1G01660",119.931465697781,-0.295872411263407,0.167695613026003,0.00509431338211231,0.0202922724294328
"AT1G01670",213.341826458609,-0.274770166838733,0.118668439868385,0.00163617600308139,0.00778172643648078
"AT1G01680",15.1471688297209,-0.0518000498145343,0.271798692388067,0.54879422692246,0.722113299129853
"AT1G01690",841.024040023394,-0.120119520863741,0.0656052424309205,0.0278901903549938,0.0814573755400172
"AT1G01695",38.6617210357235,0.0428983894691952,0.152081198247145,0.580070951788855,0.746822743802424
"AT1G08775",0.870672338754473,-0.0188777415403947,0.392499071940067,0.790644098853849,NA
"AT1G04037",0.703854383955036,-0.0501144559071514,0.461591562730457,0.422028542403257,NA
"AT1G01700",63.1821388633097,-0.192181891118239,0.161911567343133,0.0413037987167231,0.111401303719379
"AT1G01710",1927.03976792777,0.13643763971428,0.0491738769281538,0.00201741438486449,0.00932648752097079
"AT1G01715",328.119669765979,-0.0676597842806475,0.0731785156889171,0.243795321571097,0.418301281843678
"AT1G04043",0.97402086261073,-0.0620386954359161,0.430150806563451,0.405710719785314,NA
"AT1G01720",2117.99678643729,-0.0152409097545151,0.069540327661099,0.785186097999867,0.90411680896015
"AT1G01725",329.879939446991,-0.0943188335790204,0.0851198818889283,0.142744910816534,0.285447128374262
"AT1G04047",17.4585002745906,-0.711574992155158,0.642110954470742,0.00541440348088036,0.0213825762983852
"AT1G01730",1534.35846932829,-0.10345032065337,0.0659018052848619,0.0575504455348397,0.143108239459205
"AT1G01740",330.339723407849,-0.0279656447547964,0.0807460916180892,0.649304773008092,0.800156983196407
"AT1G01750",155.219640963698,-0.700569223350519,0.561944537097299,0.00435332430583178,0.0178292963606685
"AT1G04053",47.3872228394785,-0.180394429133223,0.223717014785288,0.0794327932404016,0.184133710879891
"AT1G01760",226.506694356523,-0.180047837812342,0.0986621771749766,0.0141855278012146,0.0473571034222547
"AT1G04057",0.815190385160837,-0.0817130881110958,0.481174095866682,0.260666338379998,NA
"AT1G01770",1120.06627359022,0.108629527865885,0.0490411266806459,0.0129633850372934,0.044136903378299
"AT1G01780",422.674334540917,0.102981735329617,0.105656725756136,0.157047979383934,0.306126954131737
"AT1G01790",5569.30635849272,-0.0792580939902197,0.0479318510014274,0.0611164254169344,0.149734122512871
"AT1G01800",2420.52449450355,-0.225126070678949,0.05297207945489,2.62792009049254e-06,2.53082804825828e-05
"AT1G01810",63.8735004608113,-0.0685047416559401,0.141342016339306,0.383496493963599,0.567614712190076
"AT1G01820",2662.35834974683,0.0505483907399123,0.0405775221426281,0.162663865698689,0.314235945120321
"AT1G01830",2025.82092838504,-0.0141629697628217,0.043931072238915,0.715928634582104,0.852796067535187
"AT1G04067",8.41372897339993,-0.288515430518075,0.448400873318904,0.0496415215415722,0.127864090542984
"AT1G01840",117.629426420076,-0.107396404350678,0.144971412774563,0.193615752695038,0.356822894164884
"AT1G01860",504.59752361498,0.0638751926403578,0.0841900662057586,0.313502434216001,0.49514611118365
"AT1G04073",1.63479177832676,0.218071169486918,0.622225546187208,0.0602964406987402,NA
"AT1G01880",390.352769129683,-0.0567465787135686,0.0773744689958058,0.345081208474582,0.528026767332889
"AT1G01890",0.187155480542841,-0.00458025588301158,0.492574805322359,0.892158573740975,NA
"AT1G01900",437.82931372576,-0.0924542703858219,0.0767626471425338,0.124963880677046,0.25903224498736
"AT1G04077",13.5611073331935,-0.25248069551978,0.390585966936392,0.0608183541678914,0.149167834177007
"AT1G01910",2514.18892055385,0.0759932912062584,0.0428425482955797,0.048509782826316,0.125723876787464
"AT1G04083",36.4434265218441,-0.546380071422047,0.371072334090721,0.00340729530387589,0.0145682982584903
"AT1G01920",1686.27120020196,-0.223800795377959,0.0417513524766372,1.00276370441712e-08,1.40187728755523e-07
"AT1G01930",1169.96958967871,-0.0700074812677631,0.0559356534902451,0.142345902339002,0.285032855057972
"AT1G01940",764.756727730417,0.0593686424484643,0.0519873940880332,0.18601342992427,0.346422234218991
"AT1G01950",1780.912207127,-0.145460379769155,0.0607806372966657,0.00529381668428353,0.0209900420169724
"AT1G01960",7277.84726729718,-0.00843063954756993,0.0263985044260496,0.725768099932643,0.86036977236696
"AT1G01970",1198.0500415807,0.0409189874406674,0.0699948708324463,0.466412079575716,0.646373958761164
"AT1G01980",32.2029840001131,-1.18476814915934,0.509348997984319,0.000260371222822026,0.00158618860664061
"AT1G01990",1027.5557240412,-0.0229827889998565,0.0734767578989079,0.691895778962085,0.834568857683655
"AT1G02000",766.849163564442,0.0767331349258855,0.0573759715775248,0.115540193176792,0.24420700401632
"AT1G02010",850.53302767531,0.00495316087269094,0.0589051227266106,0.920490218588967,0.998887823329005
"AT1G02020",587.936928587127,-0.0305293172137589,0.0608790402662289,0.548028895900705,0.721415223713756
"AT1G02030",101.623383779009,-0.0454088197792371,0.115192023449185,0.533941182176253,0.708600782856377
"AT1G02040",96.7161552913833,2.15963689058306,0.969049202774729,5.83419052354345e-05,0.000419321664503214
"AT1G02050",10216.7648773605,1.57103225409976,0.03148046449959,0,0
"AT1G02060",737.194529005762,-0.322670124825405,0.0678057086428832,1.28015146790429e-07,1.53251436247235e-06
"AT1G02065",3445.14543798956,-0.0588450033225558,0.0522724158389019,0.191861159661027,0.354531531401541
"AT1G02067",13.6061067684667,-0.195733764919768,0.335712363679583,0.0969429638137396,0.214250278839323
"AT1G02070",170.242560769212,-0.404391691559698,0.195837942873183,0.0011654733588482,0.00585011627421853
"AT1G02080",10837.752476171,0.112473822502465,0.0391724667853745,0.0020258308189218,0.00935730905375555
"AT1G02090",2456.30956199372,-0.00924789960812154,0.036628788555627,0.779420556891776,0.899402583288524
"AT1G02100",1788.81787492046,-0.027778867726499,0.0489879631900446,0.515185766926072,0.691291362734979
"AT1G02110",2243.08538529006,-0.0634024873154645,0.053694011473289,0.169237941975258,0.323847990854773
"AT1G02120",2885.74852654939,0.171728641003151,0.0356280240483361,3.30148895019956e-07,3.72710090688632e-06
"AT1G02130",2332.51213658411,0.00610391513865342,0.0367622339885315,0.853924002812762,0.952866171453436
"AT1G02140",4243.20836400731,-0.0163260120389723,0.0438221664582747,0.674069714883252,0.819535411866967
"AT1G02145",1189.45842409001,0.0297120325386717,0.0554270832554516,0.529498959847561,0.704979348940269
"AT1G02150",4097.69061742896,0.0794445443321583,0.0401304065172807,0.0297935035226746,0.0858248016168042
"AT1G02160",865.680084641981,-0.0247921149530737,0.0608287314784508,0.625547986663947,0.782527496858628
"AT1G02170",1211.25031563463,0.0259637234865092,0.0552796012488621,0.582010964863836,0.748044081330182
"AT1G02180",486.665684259889,-0.035670773652463,0.0575409807421601,0.4634756147478,0.643684742600626
"AT1G02190",5584.55310988986,-0.0275490664335249,0.0423686846321187,0.463509477580378,0.643684742600626
"AT1G02205",15858.7788013944,0.247445206265481,0.0471816120625214,1.59169732257028e-08,2.16632840686105e-07
"AT1G08785",5.80558454228492,0.0476920478400426,0.28917584888269,0.580675144899512,0.747153046677535
"AT1G04093",0.504679227262125,-0.00529518939264725,0.488788212375724,0.883190879363452,NA
"AT1G02220",122.805589725283,0.40807248853855,0.728993124605734,0.0218146606032869,0.0669510308898675
"AT1G02230",59.0036480384307,1.01340755888357,0.266986925567457,5.89635674532128e-06,5.2823163634354e-05
"AT1G02250",5.60502262057949,0.279561000788492,0.604575583426399,0.0484119460863602,0.125579930759808
"AT1G02260",1063.51636090341,0.14979512485351,0.0661193958069264,0.00700945013015113,0.0264999624372013
"AT1G02270",1067.65651463459,0.0789600658721332,0.0726250515598688,0.172494970905669,0.328225222476073
"AT1G08795",1.71727565927822,0.0104819400505661,0.489379100462438,0.774736000686367,NA
"AT1G02280",3671.22809900728,0.364896405630572,0.0331411878665836,2.34397993727009e-29,1.4961193184332e-27
"AT1G02290",934.35708861447,-0.172601375722116,0.0517390363478947,0.000195761853295208,0.00123857464029502
"AT1G02300",988.195536649387,0.203481763128968,0.0518764405511226,1.35933472964994e-05,0.000112238493392276
"AT1G02305",2874.96699280548,0.116087734406339,0.0421974945640061,0.0027881349135923,0.012310695084879
"AT1G04097",11.5105886890165,-0.0664911589288345,0.248149715919277,0.444633894373768,0.626022051652121
"AT1G02310",39.749134175652,0.0989364915991609,0.249434051749038,0.282615062323514,0.461375731093888
"AT1G04103",1.91092203555295,0,0.433109330607327,1,NA
"AT1G02330",1247.4589967425,-0.1112594978463,0.0615229816022098,0.0323413874222474,0.0917706169995315
