agi,sample,rep,normCount,gene
AT3G44110,bud,1,7734.21779907412,J3
AT3G44110,bud,2,7477.96936964637,J3
AT3G44110,bud,3,7555.7552252788,J3
AT3G44110,bud,4,7560.54292517291,J3
AT3G44110,seedling,1,6824.36998748644,J3
AT3G44110,seedling,2,6639.65862857835,J3
AT3G44110,seedling,3,6865.01405954062,J3
AT3G44110,seedling,4,6551.08538822683,J3
AT5G22060,bud,1,1492.29751279541,J2
AT5G22060,bud,2,1459.4050052787,J2
AT5G22060,bud,3,1398.09587482245,J2
AT5G22060,bud,4,1527.8381235774,J2
AT5G22060,seedling,1,1725.65887236021,J2
AT5G22060,seedling,2,1677.63030128885,J2
AT5G22060,seedling,3,1790.72263813446,J2
AT5G22060,seedling,4,1861.02452322631,J2
