"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010",138.81891347043,-1.16786314817727,0.143092701397451,5.98296132137127e-17,1.85197033657323e-16
"AT1G01020",280.600152417218,0.199914258096641,0.108465130343332,0.0604800007716869,0.0833963531747321
"AT1G03987",7.6350861149317,-0.324838470534293,0.530697783004466,0.423305935366236,0.491542982253032
"AT1G01030",196.438919829929,0.801870459848927,0.122347678056577,2.48845600517513e-11,6.36024900094299e-11
"AT1G01040",988.073423251975,1.23988285841551,0.0599263525398275,6.34910913740526e-96,6.10522339793427e-95
"AT1G01050",264.496523295706,0.112764937311888,0.0980881552177466,0.240952437798965,0.298892614443413
"AT1G03997",2.12545240926704,-0.0671062261117076,0.840017547651463,0.893037900372816,0.916498578647675
"AT1G01060",173.864761146086,2.70055949211732,0.17495414441502,9.56317440560606e-55,6.08571424441859e-54
"AT1G01070",98.9692163355884,-2.6940680399968,0.219727886826857,1.41267112558266e-35,6.70890275038949e-35
"AT1G01080",722.275552544093,-0.698736066602164,0.062318582638914,1.95195972104783e-29,8.25793715492062e-29
"AT1G01090",3269.91292770443,-0.677362304240436,0.0324808297126029,8.00501511904185e-97,7.78881731999487e-96
"AT1G01100",7221.76836065429,0.706906828424239,0.0276476481697806,1.86271466037502e-144,2.42888855782688e-143
"AT1G01110",406.869684079164,1.57341959089972,0.102071346383924,8.45080803100598e-55,5.38260982684727e-54
"AT1G01120",1599.8651768548,-0.929799987949242,0.046401651898178,8.59869029549736e-90,7.83542349903572e-89
"AT1G01130",96.993642436946,-0.308767482674875,0.157167614403588,0.042898143425638,0.0603288628192361
"AT1G01140",1890.86533922843,-2.06691968486047,0.0395282312834885,0,0
"AT1G01150",19.8259855709345,3.1312571056816,0.53879734668532,7.50545612951974e-10,1.79198538039997e-09
"AT1G01160",575.254979041689,1.09019666068403,0.0828644372789264,3.48136209588979e-40,1.79462028472682e-39
"AT1G04007",12.2820684544433,0.169429428414873,0.380614550748793,0.605174630011757,0.666476647419744
