lib,chrs,start,stop,cos,width
1,Chr2,144904,144954,144929,50
1,Chr2,17166948,17168060,17167504,1112
1,Chr3,335714,336801,336258,1087
1,Chr3,15783016,15783790,15783403,774
1,Chr4,11423389,11423973,11423681,584
10,Chr1,2510522,2511896,2511209,1374
10,Chr1,9962930,9964489,9963710,1559
10,Chr1,23497124,23498622,23497873,1498
10,Chr2,4806175,4806437,4806306,262
10,Chr3,20766598,20767535,20767066,937
10,Chr5,9115867,9116575,9116221,708
11,Chr1,4776387,4776551,4776469,164
11,Chr2,6240096,6240183,6240140,87
11,Chr2,16682528,16694743,16688636,12215
11,Chr4,5729205,5729491,5729348,286
11,Chr5,15217208,15217946,15217577,738
12,Chr2,1926717,1926794,1926755,77
12,Chr4,662353,663179,662766,826
12,Chr4,12478853,12479400,12479127,547
13,Chr1,11470610,11470992,11470801,382
13,Chr1,25876375,25876893,25876634,518
13,Chr2,1071052,1071577,1071314,525
13,Chr4,14850434,14852090,14851262,1656
13,Chr5,6414575,6414839,6414707,264
13,Chr5,15724073,15724457,15724265,384
14,Chr2,13771157,13771361,13771259,204
14,Chr3,6219048,6219187,6219118,139
14,Chr4,10971479,10971876,10971677,397
14,Chr4,13333220,13336172,13334696,2952
14,Chr5,24233978,24236779,24235378,2801
15,Chr1,16643665,16644049,16643857,384
15,Chr1,23905258,23905283,23905270,25
15,Chr2,17399829,17407658,17403743,7829
15,Chr3,22391622,22391841,22391732,219
15,Chr4,5577313,5579123,5578218,1810
15,Chr4,17483604,17486072,17484838,2468
15,Chr5,25813904,25814545,25814224,641
16,Chr1,7915582,7916602,7916092,1020
16,Chr3,10146912,10147017,10146964,105
16,Chr4,5427613,5427850,5427731,237
16,Chr4,10026937,10027302,10027119,365
17,Chr1,6663295,6664518,6663907,1223
17,Chr1,21578974,21580518,21579746,1544
17,Chr4,5362064,5362459,5362262,395
17,Chr4,13972699,13973705,13973202,1006
18,Chr1,15982448,15983029,15982738,581
18,Chr2,5921310,5921347,5921328,37
18,Chr3,21298252,21300447,21299350,2195
18,Chr5,15775145,15775330,15775237,185
19,Chr1,8418107,8431089,8424598,12982
19,Chr1,13997983,13998351,13998167,368
19,Chr1,23768654,23768670,23768662,16
19,Chr2,12101343,12104379,12102861,3036
19,Chr3,10951558,10951884,10951721,326
19,Chr3,22787290,22787954,22787622,664
2,Chr1,1920278,1920307,1920292,29
2,Chr3,10386701,10386806,10386753,105
2,Chr3,18476343,18476657,18476500,314
2,Chr5,8685931,8686554,8686243,623
20,Chr1,11814205,11814679,11814442,474
20,Chr1,27834566,27834602,27834584,36
20,Chr2,16419128,16419279,16419204,151
20,Chr4,7713111,7714302,7713707,1191
20,Chr5,26893501,26894474,26893987,973
21,Chr1,17712420,17712495,17712458,75
21,Chr2,7383928,7384536,7384232,608
21,Chr3,6784410,6784480,6784445,70
21,Chr4,5810945,5811785,5811365,840
22,Chr5,822188,822229,822208,41
22,Chr5,14282470,14283909,14283190,1439
22,Chr5,21220494,21220580,21220537,86
23,Chr5,21844031,21844117,21844074,86
24,Chr1,8393960,8394423,8394192,463
24,Chr1,17013627,17014286,17013957,659
24,Chr2,8240807,8243770,8242289,2963
24,Chr4,130278,130310,130294,32
24,Chr5,16924883,16925496,16925189,613
24,Chr5,26298570,26298764,26298667,194
25,Chr1,2624195,2624197,2624196,2
25,Chr2,9630200,9631205,9630702,1005
25,Chr3,11747765,11748041,11747903,276
25,Chr4,7714302,7715269,7714786,967
25,Chr5,25717850,25718329,25718090,479
26,Chr1,26800457,26800711,26800584,254
26,Chr3,1231871,1231946,1231909,75
26,Chr5,7185641,7186120,7185881,479
27,Chr5,16413095,16413223,16413159,128
28,Chr2,15493070,15493168,15493119,98
28,Chr4,5645086,5646362,5645724,1276
28,Chr4,11909577,11909739,11909658,162
28,Chr5,17141311,17142160,17141735,849
29,Chr1,12236208,12238365,12237286,2157
29,Chr3,8771578,8771724,8771651,146
29,Chr5,10262208,10262596,10262402,388
3,Chr1,11475673,11476059,11475866,386
3,Chr1,22745477,22745567,22745522,90
3,Chr2,5507934,5507970,5507952,36
3,Chr3,18513701,18514112,18513907,411
3,Chr4,746793,747211,747002,418
3,Chr4,16293712,16294941,16294326,1229
3,Chr5,15874734,15874899,15874816,165
30,Chr1,7175615,7176838,7176227,1223
30,Chr2,12796571,12796666,12796619,95
30,Chr3,11726269,11727705,11726987,1436
30,Chr3,19939230,19940016,19939623,786
30,Chr4,7543325,7543339,7543332,14
30,Chr4,17518447,17519073,17518760,626
31,Chr3,590172,591006,590589,834
32,Chr1,16472849,16473009,16472929,160
32,Chr2,15377527,15377532,15377529,5
32,Chr3,2539447,2539788,2539617,341
32,Chr5,9225223,9225785,9225504,562
32,Chr5,25234938,25236920,25235929,1982
33,Chr1,21321900,21323071,21322486,1171
33,Chr1,28096105,28096546,28096325,441
33,Chr3,7353643,7353707,7353675,64
33,Chr4,10640759,10640818,10640789,59
33,Chr5,3846459,3851004,3848731,4545
33,Chr5,4910784,4911256,4911020,472
34,Chr2,111822,111954,111888,132
34,Chr4,5740037,5740385,5740211,348
34,Chr4,14977150,14977526,14977338,376
34,Chr5,26101113,26101214,26101163,101
35,Chr1,2723354,2723366,2723360,12
35,Chr1,20414631,20418732,20416681,4101
35,Chr2,16596487,16596606,16596547,119
35,Chr5,13471114,13471364,13471239,250
36,Chr1,29397342,29397632,29397487,290
36,Chr3,2349512,2350091,2349802,579
36,Chr3,16139988,16140065,16140026,77
36,Chr4,11693252,11693856,11693554,604
36,Chr5,8801428,8802561,8801994,1133
37,Chr1,10117909,10118160,10118035,251
37,Chr2,18428933,18429666,18429299,733
37,Chr5,23088377,23089425,23088901,1048
38,Chr1,11474185,11475408,11474797,1223
38,Chr1,28527738,28527977,28527858,239
38,Chr3,20092077,20092328,20092203,251
38,Chr4,6363632,6363826,6363729,194
38,Chr5,9081360,9081830,9081595,470
39,Chr1,7742002,7742066,7742034,64
39,Chr2,19205320,19207057,19206188,1737
39,Chr4,566569,566617,566593,48
39,Chr4,11852823,11854593,11853708,1770
39,Chr5,10038575,10038715,10038645,140
4,Chr1,23460129,23461440,23460785,1311
4,Chr3,4034729,4034992,4034861,263
4,Chr4,7493091,7493111,7493101,20
4,Chr4,17570408,17572032,17571220,1624
40,Chr2,6303782,6304391,6304086,609
40,Chr3,602888,603461,603174,573
40,Chr4,5366209,5367784,5366997,1575
40,Chr5,945834,947184,946509,1350
40,Chr5,25702570,25702946,25702758,376
41,Chr1,23770340,23770442,23770391,102
41,Chr2,2184472,2184514,2184493,42
41,Chr3,840539,840624,840581,85
41,Chr4,6578296,6578299,6578298,3
41,Chr4,12640768,12641832,12641300,1064
41,Chr5,669,721,695,52
41,Chr5,26038760,26039168,26038964,408
42,Chr1,26440608,26442182,26441395,1574
42,Chr2,12101343,12104379,12102861,3036
