lib,chrs,start,stop,cos,width
1,Chr1,7699074,7700049,7699562,975
1,Chr1,16133722,16134080,16133901,358
1,Chr1,17855730,17856073,17855902,343
1,Chr1,17886136,17894339,17890238,8203
1,Chr1,19572884,19573575,19573230,691
1,Chr2,19620438,19621921,19621180,1483
1,Chr3,412440,412667,412554,227
1,Chr3,2092440,2092843,2092642,403
1,Chr3,3045063,3045752,3045407,689
1,Chr3,4766835,4768252,4767543,1417
1,Chr3,11150235,11150576,11150405,341
1,Chr4,9675966,9675993,9675980,27
1,Chr5,1871750,1872781,1872266,1031
1,Chr5,3219314,3219948,3219631,634
1,Chr5,8562502,8562863,8562682,361
1,Chr5,22693972,22698593,22696282,4621
1,Chr5,26680762,26681056,26680909,294
10,Chr1,127093,129607,128350,2514
10,Chr1,797322,834960,816141,37638
10,Chr1,4969845,4977190,4973517,7345
10,Chr1,9193208,9193409,9193308,201
10,Chr1,9328636,9328762,9328699,126
10,Chr1,10111215,10111674,10111445,459
10,Chr1,20606644,20615934,20611289,9290
10,Chr1,22302768,22303113,22302940,345
10,Chr1,26768271,26768814,26768543,543
10,Chr1,27631516,27631579,27631548,63
10,Chr1,29757855,29758423,29758139,568
10,Chr2,13904216,13904884,13904550,668
10,Chr2,17831141,17832660,17831901,1519
10,Chr3,1080026,1080056,1080041,30
10,Chr3,2338568,2338598,2338583,30
10,Chr3,6091681,6092215,6091948,534
10,Chr3,12773383,12773875,12773629,492
10,Chr3,14763634,14763733,14763684,99
10,Chr3,21283684,21284956,21284320,1272
10,Chr4,666010,666724,666367,714
10,Chr4,1299426,1299512,1299469,86
10,Chr4,9301200,9301624,9301412,424
10,Chr4,10268265,10268664,10268465,399
10,Chr4,14048227,14048669,14048448,442
10,Chr5,2850965,2856669,2853817,5704
10,Chr5,6443354,6445091,6444222,1737
10,Chr5,19508120,19508311,19508216,191
10,Chr5,24098627,24099069,24098848,442
100,Chr1,1660741,1661017,1660879,276
100,Chr1,6606484,6609022,6607753,2538
100,Chr1,7738102,7739748,7738925,1646
100,Chr1,9439921,9439975,9439948,54
100,Chr1,12702736,12702837,12702786,101
100,Chr1,18253191,18254088,18253639,897
100,Chr1,19046794,19047007,19046900,213
100,Chr1,19908093,19908293,19908193,200
100,Chr1,25984653,25985118,25984885,465
100,Chr1,26670388,26670893,26670640,505
100,Chr1,28870471,28876128,28873299,5657
100,Chr2,655473,660952,658213,5479
100,Chr2,6040064,6040109,6040086,45
100,Chr2,17982103,17983576,17982839,1473
100,Chr3,1384681,1386425,1385553,1744
100,Chr3,4125066,4125870,4125468,804
100,Chr3,18904878,18906236,18905557,1358
100,Chr3,19557061,19557857,19557459,796
100,Chr3,21191341,21191519,21191430,178
100,Chr3,21686505,21686670,21686587,165
100,Chr3,22794519,22795605,22795062,1086
100,Chr4,9836319,9836989,9836654,670
100,Chr4,13777373,13793924,13785649,16551
100,Chr4,14440423,14441324,14440873,901
100,Chr5,3183825,3184215,3184020,390
