lib,chrs,start,stop,cos,width
1,Chr1,110059,111864,110961,1805
1,Chr1,1680572,1681145,1680858,573
1,Chr1,3522983,3523432,3523207,449
1,Chr1,4151808,4153237,4152522,1429
1,Chr1,11775089,11776253,11775671,1164
1,Chr1,16844473,16844701,16844587,228
1,Chr1,17300594,17300654,17300624,60
1,Chr1,17527909,17537384,17532647,9475
1,Chr1,27999038,28000967,28000002,1929
1,Chr1,28877269,28882651,28879960,5382
1,Chr1,29427776,29427930,29427853,154
1,Chr1,29858569,29861728,29860149,3159
1,Chr2,7638630,7639324,7638977,694
1,Chr2,8105171,8140037,8122604,34866
1,Chr2,10828323,10829334,10828829,1011
1,Chr2,11277682,11278620,11278151,938
1,Chr2,15280559,15282113,15281336,1554
1,Chr2,16492036,16492112,16492074,76
1,Chr2,19651199,19658528,19654863,7329
1,Chr3,1499876,1501115,1500496,1239
1,Chr3,6168390,6169317,6168854,927
1,Chr3,20380359,20381164,20380761,805
1,Chr3,23293363,23294146,23293755,783
1,Chr4,186173,187613,186893,1440
1,Chr4,625415,626988,626201,1573
1,Chr4,8671363,8672755,8672059,1392
1,Chr4,9242175,9243068,9242621,893
1,Chr4,10515562,10521100,10518331,5538
1,Chr4,12491741,12492564,12492153,823
1,Chr5,533716,533787,533752,71
1,Chr5,20748374,20752809,20750592,4435
1,Chr5,23119076,23144398,23131737,25322
1,Chr5,25537808,25538253,25538030,445
10,Chr1,1150961,1153526,1152243,2565
10,Chr1,1878162,1880425,1879294,2263
10,Chr1,7157751,7159600,7158675,1849
10,Chr1,17097111,17097697,17097404,586
10,Chr1,24382581,24383236,24382909,655
10,Chr1,25046362,25046783,25046572,421
10,Chr2,10263757,10264095,10263926,338
10,Chr2,12261225,12261886,12261555,661
10,Chr2,14826911,14827555,14827233,644
10,Chr2,17863782,17866971,17865376,3189
10,Chr2,19469437,19472211,19470824,2774
10,Chr3,573032,574957,573994,1925
10,Chr3,1098385,1098595,1098490,210
10,Chr3,2992291,2992675,2992483,384
10,Chr3,4468619,4470304,4469461,1685
10,Chr3,7053389,7064120,7058755,10731
10,Chr3,8524313,8524670,8524491,357
10,Chr3,15705362,15705634,15705498,272
10,Chr3,18146548,18148349,18147448,1801
10,Chr3,22913802,22914343,22914072,541
10,Chr4,1090919,1091102,1091011,183
10,Chr4,7775601,7782731,7779166,7130
10,Chr4,9256265,9261360,9258813,5095
10,Chr4,11746626,11750773,11748700,4147
10,Chr4,13651179,13652090,13651635,911
10,Chr4,18062411,18062572,18062491,161
10,Chr5,1817726,1819425,1818576,1699
10,Chr5,3295783,3297582,3296683,1799
10,Chr5,16088889,16089430,16089159,541
10,Chr5,20061622,20061836,20061729,214
10,Chr5,20916797,20916877,20916837,80
10,Chr5,21634622,21640437,21637530,5815
10,Chr5,23175151,23214138,23194645,38987
11,Chr1,2759388,2760302,2759845,914
11,Chr1,3381223,3395748,3388485,14525
11,Chr1,6640840,6641514,6641177,674
11,Chr1,7777957,7780266,7779111,2309
11,Chr1,8920715,8920819,8920767,104
11,Chr1,19007991,19043119,19025555,35128
11,Chr1,22766172,22769682,22767927,3510
11,Chr1,25891652,25892792,25892222,1140
11,Chr1,26748753,26756530,26752641,7777
11,Chr1,27669493,27672502,27670997,3009
11,Chr1,28918339,28918375,28918357,36
11,Chr2,7038124,7038612,7038368,488
11,Chr2,7994516,7994713,7994614,197
11,Chr2,9522856,9523800,9523328,944
11,Chr2,12353512,12354308,12353910,796
11,Chr2,13399023,13400888,13399955,1865
11,Chr2,14329836,14332052,14330944,2216
11,Chr2,19020006,19020654,19020330,648
11,Chr3,187418,187440,187429,22
11,Chr3,4223716,4224536,4224126,820
11,Chr3,5060112,5061066,5060589,954
11,Chr3,21626834,21629053,21627944,2219
11,Chr4,8919645,8920999,8920322,1354
11,Chr4,12070079,12071348,12070713,1269
11,Chr5,4448079,4449324,4448701,1245
11,Chr5,5546722,5559677,5553200,12955
11,Chr5,7639495,7639726,7639611,231
11,Chr5,8418522,8418589,8418556,67
11,Chr5,26687493,26687830,26687661,337
12,Chr1,2673586,2674334,2673960,748
12,Chr1,4513342,4513389,4513366,47
12,Chr1,7128282,7130033,7129158,1751
12,Chr1,7993384,7993391,7993388,7
12,Chr1,8629527,8630103,8629815,576
12,Chr1,16869025,16869517,16869271,492
12,Chr1,20414631,20418732,20416681,4101
12,Chr1,20948514,20949886,20949200,1372
12,Chr1,23328768,23329018,23328893,250
12,Chr1,25838743,25839032,25838887,289
12,Chr2,6806525,6807863,6807194,1338
12,Chr2,12939324,12940265,12939794,941
12,Chr2,13495926,13496704,13496315,778
12,Chr2,18356634,18356967,18356800,333
12,Chr3,3656591,3656877,3656734,286
12,Chr3,6740716,6741035,6740876,319
12,Chr3,9413692,9413896,9413794,204
12,Chr3,10140896,10141281,10141088,385
12,Chr3,17477186,17477321,17477254,135
12,Chr3,21703474,21704145,21703810,671
12,Chr3,23317501,23317858,23317679,357
12,Chr4,9863275,9863290,9863283,15
12,Chr4,10399964,10400371,10400168,407
12,Chr5,128042,128133,128088,91
12,Chr5,280668,280952,280810,284
12,Chr5,3047675,3047757,3047716,82
12,Chr5,3477652,3479006,3478329,1354
12,Chr5,4944539,4944735,4944637,196
12,Chr5,15831826,15831930,15831878,104
12,Chr5,16312760,16313785,16313272,1025
12,Chr5,19406643,19407122,19406883,479
12,Chr5,20149381,20186431,20167906,37050
12,Chr5,20515888,20518729,20517308,2841
12,Chr5,22883707,22884199,22883953,492
