lib,chrs,start,stop,cos,width
1,Chr3,15215860,15215905,15215882,45
1,Chr5,15254999,15255448,15255223,449
10,Chr1,24439920,24442117,24441018,2197
10,Chr2,937377,937870,937623,493
11,Chr3,8775443,8777075,8776259,1632
11,Chr4,644179,644758,644469,579
12,Chr4,958420,958927,958674,507
12,Chr5,5262676,5262919,5262798,243
13,Chr3,20880051,20882952,20881501,2901
13,Chr5,8640610,8641357,8640984,747
14,Chr1,8342908,8343175,8343042,267
14,Chr1,20068473,20068710,20068591,237
14,Chr2,6301229,6304391,6302810,3162
14,Chr3,16284129,16284162,16284145,33
14,Chr4,5737163,5737587,5737375,424
14,Chr5,590421,591651,591036,1230
15,Chr1,22958637,22958736,22958687,99
15,Chr2,15718436,15718479,15718458,43
15,Chr5,16907241,16907528,16907385,287
16,Chr1,12214127,12214366,12214247,239
17,Chr1,7826800,7827185,7826992,385
17,Chr1,11464515,11464806,11464661,291
17,Chr3,15664500,15664763,15664632,263
17,Chr5,21891934,21892677,21892306,743
18,Chr1,20951699,20951754,20951727,55
18,Chr2,407596,409105,408350,1509
18,Chr3,18426498,18426690,18426594,192
19,Chr1,10290177,10293357,10291767,3180
19,Chr3,17387754,17388194,17387974,440
19,Chr4,6867956,6868331,6868144,375
19,Chr5,15219619,15219696,15219657,77
2,Chr1,24480713,24480720,24480717,7
2,Chr3,8987920,8990732,8989326,2812
2,Chr4,10586430,10587212,10586821,782
2,Chr5,3508002,3509102,3508552,1100
20,Chr1,19856381,19856503,19856442,122
20,Chr3,10737455,10737582,10737519,127
20,Chr4,6962052,6962398,6962225,346
21,Chr1,2388087,2388862,2388475,775
21,Chr1,17824616,17824675,17824646,59
21,Chr4,9438355,9440737,9439546,2382
21,Chr5,21003516,21004341,21003928,825
22,Chr1,3553135,3554155,3553645,1020
22,Chr1,29340090,29341009,29340550,919
22,Chr2,11381984,11384216,11383100,2232
22,Chr3,15369058,15370161,15369610,1103
23,Chr1,16134201,16134241,16134221,40
23,Chr3,11270512,11270665,11270588,153
23,Chr5,17229259,17230251,17229755,992
24,Chr1,5070376,5072878,5071627,2502
24,Chr4,1339044,1339047,1339046,3
24,Chr5,15250387,15250561,15250474,174
25,Chr2,509341,510092,509717,751
25,Chr5,26056326,26056588,26056457,262
26,Chr1,15982448,15983742,15983095,1294
26,Chr3,11268241,11268860,11268551,619
27,Chr1,27366027,27366629,27366328,602
27,Chr2,6519400,6519490,6519445,90
28,Chr1,6581531,6581694,6581613,163
28,Chr1,24869670,24870276,24869973,606
28,Chr3,15905120,15905195,15905158,75
29,Chr1,16658509,16659164,16658837,655
29,Chr2,10578944,10579352,10579148,408
29,Chr4,6353546,6353961,6353754,415
29,Chr5,14024417,14024757,14024587,340
3,Chr1,23040373,23040931,23040652,558
3,Chr4,7757990,7758687,7758338,697
30,Chr3,10015589,10015727,10015658,138
30,Chr4,10268265,10268664,10268465,399
31,Chr3,16238459,16238796,16238627,337
32,Chr2,439457,439583,439520,126
33,Chr1,12877571,12877835,12877703,264
33,Chr2,2271644,2271719,2271682,75
33,Chr3,3724790,3725745,3725268,955
33,Chr4,1309078,1309300,1309189,222
33,Chr5,17035419,17035427,17035423,8
34,Chr1,11551612,11551965,11551788,353
34,Chr2,6861921,6861971,6861946,50
34,Chr3,18795367,18795750,18795559,383
34,Chr4,18483268,18483533,18483400,265
34,Chr5,17369137,17369353,17369245,216
