lib,chrs,start,stop,cos,width
1,Chr1,6619970,6620076,6620023,106
1,Chr1,17975588,17975935,17975762,347
1,Chr1,19473949,19474593,19474271,644
1,Chr1,28545297,28546087,28545692,790
1,Chr2,1861252,1862055,1861654,803
1,Chr2,10509433,10509563,10509498,130
1,Chr3,1507025,1508190,1507607,1165
1,Chr3,18477141,18477518,18477329,377
1,Chr4,5793003,5794456,5793729,1453
1,Chr4,8922529,8922801,8922665,272
1,Chr5,7752619,7752722,7752671,103
1,Chr5,24374404,24374842,24374623,438
2,Chr1,19852841,19853349,19853095,508
2,Chr2,9987868,9987872,9987870,4
2,Chr2,12293246,12294066,12293656,820
2,Chr4,5183574,5184244,5183909,670
2,Chr5,9969044,9969375,9969210,331
2,Chr5,22277339,22277531,22277435,192
3,Chr1,3021292,3021516,3021404,224
3,Chr1,3776018,3776471,3776244,453
3,Chr1,26684976,26686384,26685680,1408
3,Chr1,28208679,28209042,28208861,363
3,Chr2,9985535,9985742,9985639,207
3,Chr2,10805087,10806018,10805553,931
3,Chr2,19488888,19489551,19489220,663
3,Chr3,952637,953374,953005,737
3,Chr3,22421890,22424707,22423298,2817
3,Chr4,80096,80192,80144,96
3,Chr4,11648174,11648234,11648204,60
3,Chr5,21066886,21067412,21067149,526
3,Chr5,25181216,25183685,25182450,2469
4,Chr1,8342139,8342557,8342348,418
4,Chr3,9498193,9498475,9498334,282
4,Chr3,10950753,10950822,10950787,69
4,Chr4,12450369,12450579,12450474,210
4,Chr4,14440291,14441324,14440807,1033
4,Chr5,8999455,8999561,8999508,106
4,Chr5,10875716,10875893,10875804,177
4,Chr5,23921315,23921909,23921612,594
5,Chr1,22669880,22672423,22671152,2543
5,Chr1,28919556,28921564,28920560,2008
5,Chr2,13858234,13858691,13858462,457
5,Chr3,394184,394565,394374,381
5,Chr4,1397528,1397708,1397618,180
5,Chr5,26235896,26235989,26235942,93
5,Chr5,26598281,26599229,26598755,948
6,Chr1,6772739,6773774,6773257,1035
6,Chr1,28651893,28724228,28688061,72335
6,Chr2,2921863,2924135,2922999,2272
6,Chr2,5920713,5920848,5920781,135
6,Chr2,18707596,18707995,18707796,399
6,Chr3,7097453,7097565,7097509,112
6,Chr3,8527639,8529020,8528329,1381
6,Chr3,21044970,21045206,21045088,236
6,Chr4,7245915,7246191,7246053,276
6,Chr5,7814349,7814792,7814571,443
6,Chr5,17925970,17926060,17926015,90
7,Chr1,8863343,8863706,8863525,363
7,Chr1,16779813,16780165,16779989,352
7,Chr2,7749690,7749816,7749753,126
7,Chr2,19319049,19320501,19319775,1452
7,Chr3,7616023,7617844,7616933,1821
7,Chr4,618957,620506,619731,1549
7,Chr5,13775150,13775267,13775208,117
7,Chr5,17738283,17739090,17738687,807
8,Chr1,12201915,12202259,12202087,344
8,Chr2,12152497,12154105,12153301,1608
8,Chr2,13820411,13821429,13820920,1018
8,Chr3,9300507,9301038,9300773,531
8,Chr3,16282145,16282289,16282217,144
8,Chr4,7246191,7246529,7246360,338
8,Chr5,6766501,6767623,6767062,1122
9,Chr1,8355480,8358391,8356936,2911
9,Chr1,16642782,16643196,16642989,414
9,Chr1,23577372,23577940,23577656,568
9,Chr1,29875101,29878497,29876799,3396
9,Chr2,6916155,6916378,6916267,223
9,Chr3,23177400,23177704,23177552,304
9,Chr4,16693938,16694586,16694262,648
9,Chr5,7810197,7810390,7810293,193
9,Chr5,21288933,21291254,21290093,2321
10,Chr1,6315038,6315442,6315240,404
10,Chr1,20784414,20785179,20784796,765
10,Chr2,12353512,12354308,12353910,796
10,Chr4,1398389,1399004,1398697,615
10,Chr4,12102390,12102917,12102654,527
10,Chr4,18206405,18208163,18207284,1758
10,Chr5,9864438,9864589,9864514,151
11,Chr1,28918510,28919006,28918758,496
11,Chr2,19263042,19263461,19263252,419
11,Chr3,11803118,11803175,11803146,57
11,Chr5,1562536,1563821,1563178,1285
11,Chr5,10148140,10148698,10148419,558
12,Chr1,4953738,4954007,4953872,269
12,Chr1,11224291,11224308,11224299,17
12,Chr1,14001398,15983742,14992570,1982344
12,Chr2,1696398,1696501,1696450,103
12,Chr2,5418309,5418733,5418521,424
12,Chr2,14374454,14375065,14374760,611
12,Chr3,9649726,9649783,9649754,57
12,Chr3,11739302,11739335,11739318,33
12,Chr4,491702,492590,492146,888
12,Chr4,16309249,16309737,16309493,488
12,Chr5,1868216,1872781,1870498,4565
12,Chr5,2366787,2367234,2367011,447
12,Chr5,16842897,16843192,16843045,295
13,Chr1,3561504,3562114,3561809,610
13,Chr1,4871543,4871740,4871641,197
13,Chr1,8947867,8947942,8947905,75
13,Chr1,20445369,20446829,20446099,1460
13,Chr1,25250695,25253343,25252019,2648
13,Chr3,10738349,10738388,10738369,39
13,Chr3,18673005,18674157,18673581,1152
13,Chr4,1049070,1049364,1049217,294
13,Chr4,17413244,17414726,17413985,1482
13,Chr5,7755839,7755857,7755848,18
13,Chr5,14717569,14717912,14717741,343
13,Chr5,22191441,22191553,22191497,112
13,Chr5,25197408,25197899,25197654,491
14,Chr1,1694193,1696028,1695111,1835
14,Chr3,17254846,17258036,17256441,3190
