lib,chrs,start,stop,cos,width
1,Chr1,5054681,5070376,5062529,15695
1,Chr1,7194315,7195393,7194854,1078
1,Chr1,11467821,11468046,11467933,225
1,Chr1,19919436,19921013,19920224,1577
1,Chr1,20380600,20383524,20382062,2924
1,Chr1,21033943,21037466,21035705,3523
1,Chr1,23523471,23525614,23524543,2143
1,Chr1,30277066,30277548,30277307,482
1,Chr2,1718129,1719022,1718575,893
1,Chr2,7622691,7622860,7622775,169
1,Chr2,8233743,8233843,8233793,100
1,Chr2,9231599,9232544,9232071,945
1,Chr2,10022624,10022736,10022680,112
1,Chr2,11001897,11010953,11006425,9056
1,Chr2,14119760,14120633,14120196,873
1,Chr2,14853807,14853882,14853845,75
1,Chr2,15907525,15909048,15908287,1523
1,Chr2,19390264,19392568,19391416,2304
1,Chr3,10015784,10016130,10015957,346
1,Chr3,19633795,19637216,19635505,3421
1,Chr4,851262,852842,852052,1580
1,Chr4,9288965,9289392,9289179,427
1,Chr4,13658654,13658716,13658685,62
1,Chr5,3844047,3844843,3844445,796
1,Chr5,5210999,5211614,5211307,615
1,Chr5,7941689,7942118,7941903,429
1,Chr5,13763627,13768326,13765977,4699
10,Chr1,432547,445271,438909,12724
10,Chr1,1497234,1497552,1497393,318
10,Chr1,1497552,1502839,1500196,5287
10,Chr1,4527060,4529000,4528030,1940
10,Chr1,4967219,4969845,4968532,2626
10,Chr1,17931796,17938284,17935040,6488
10,Chr1,20411025,20414631,20412828,3606
10,Chr1,27410156,27414997,27412576,4841
10,Chr2,10270339,10270440,10270389,101
10,Chr2,12108662,12124196,12116429,15534
10,Chr2,13083123,13083366,13083245,243
10,Chr3,18804,18823,18814,19
10,Chr3,469557,471989,470773,2432
10,Chr3,1250997,1251000,1250999,3
10,Chr3,4437135,4439720,4438427,2585
10,Chr3,5764990,5766343,5765666,1353
10,Chr3,6705249,6705633,6705441,384
10,Chr3,8033512,8034094,8033803,582
10,Chr3,15604694,15604909,15604802,215
10,Chr3,19897652,19897820,19897736,168
10,Chr4,244787,245797,245292,1010
10,Chr4,7461544,7462068,7461806,524
10,Chr4,8605455,8606624,8606039,1169
10,Chr4,10798824,10799246,10799035,422
10,Chr4,12707210,12707717,12707464,507
10,Chr4,13592427,13612527,13602477,20100
10,Chr4,14119064,14120740,14119902,1676
10,Chr5,1507237,1507420,1507329,183
10,Chr5,3017258,3017342,3017300,84
10,Chr5,3829814,3830238,3830026,424
10,Chr5,8072244,8080970,8076607,8726
10,Chr5,20805528,20807633,20806580,2105
10,Chr5,23236099,23236306,23236203,207
10,Chr5,25444755,25445516,25445135,761
11,Chr1,2452949,2453600,2453275,651
11,Chr1,4366484,4366909,4366696,425
11,Chr1,9402409,9402845,9402627,436
11,Chr1,11767023,11767133,11767078,110
11,Chr1,18892612,18899696,18896154,7084
11,Chr1,22708947,22709175,22709061,228
11,Chr1,28911150,28912168,28911659,1018
11,Chr2,1497805,1497977,1497891,172
11,Chr2,15074999,15075195,15075097,196
11,Chr3,2656952,2657914,2657433,962
11,Chr3,3656591,3656877,3656734,286
11,Chr3,19737814,19737895,19737854,81
11,Chr3,20480562,20480903,20480732,341
11,Chr3,21468762,21492444,21480603,23682
11,Chr3,23229739,23242592,23236165,12853
11,Chr4,125589,126194,125891,605
11,Chr4,1213378,1213579,1213478,201
11,Chr4,14044027,14044059,14044043,32
11,Chr5,8498,9974,9236,1476
11,Chr5,1132224,1133094,1132659,870
11,Chr5,6833482,6834121,6833802,639
11,Chr5,6854159,6856376,6855267,2217
11,Chr5,16428883,16429814,16429349,931
11,Chr5,23097129,23098340,23097735,1211
11,Chr5,24011669,24012226,24011947,557
12,Chr1,1137318,1138098,1137708,780
12,Chr1,4841068,4841097,4841082,29
12,Chr1,5285102,5285150,5285126,48
12,Chr1,5773843,5776349,5775096,2506
12,Chr1,8163936,8163990,8163963,54
12,Chr1,11598354,11598488,11598421,134
12,Chr1,17252565,17252626,17252595,61
12,Chr1,23410600,23410657,23410628,57
12,Chr1,25309364,25310078,25309721,714
12,Chr2,6823586,6824261,6823924,675
12,Chr3,256542,256655,256598,113
12,Chr3,3284381,3290911,3287646,6530
12,Chr3,19016057,19016226,19016141,169
12,Chr4,150013,151540,150777,1527
12,Chr5,20010814,20011118,20010966,304
12,Chr5,24458295,24458390,24458343,95
12,Chr5,25922647,25923245,25922946,598
