lib,chrs,start,stop,cos,width
1,Chr1,8134618,8135511,8135064,893
1,Chr2,184151,184448,184299,297
1,Chr2,10384934,10386737,10385836,1803
1,Chr4,10108684,10109065,10108874,381
1,Chr5,7387125,7387339,7387232,214
1,Chr5,17447631,17447791,17447711,160
10,Chr1,3571434,3571773,3571604,339
10,Chr1,7406788,7407649,7407218,861
10,Chr1,12257855,12257986,12257921,131
10,Chr1,18554457,18554598,18554527,141
10,Chr1,25706351,25710934,25708643,4583
10,Chr1,30391616,30392236,30391926,620
10,Chr2,7522123,7522799,7522461,676
10,Chr2,11275256,11275943,11275600,687
10,Chr3,1094460,1094604,1094532,144
10,Chr3,19643212,19643954,19643583,742
10,Chr4,5724993,5725089,5725041,96
10,Chr4,9343612,9343624,9343618,12
10,Chr5,880193,881436,880815,1243
10,Chr5,16631343,16631466,16631405,123
11,Chr1,22987479,22990258,22988869,2779
11,Chr2,6758172,6758522,6758347,350
11,Chr2,15132956,15133395,15133176,439
11,Chr3,8512518,8514638,8513578,2120
11,Chr3,16007298,16007343,16007320,45
11,Chr4,1260499,1261656,1261077,1157
11,Chr5,6554060,6554206,6554133,146
11,Chr5,18704431,18704771,18704601,340
11,Chr5,21514724,21514849,21514786,125
11,Chr5,25735362,25736270,25735816,908
11,Chr5,26157415,26158033,26157724,618
12,Chr1,10010941,10012101,10011521,1160
12,Chr1,11202657,11202793,11202725,136
12,Chr1,21420020,21420555,21420288,535
12,Chr1,29104074,29107274,29105674,3200
12,Chr2,12871471,12871691,12871581,220
12,Chr3,22783710,22783739,22783724,29
12,Chr4,6424545,6425346,6424945,801
12,Chr4,12332606,12332632,12332619,26
12,Chr5,4946869,4946908,4946889,39
12,Chr5,16871945,16872287,16872116,342
12,Chr5,21971317,21971571,21971444,254
13,Chr1,7342023,7342481,7342252,458
13,Chr1,25568060,25568253,25568156,193
13,Chr2,7840802,7841080,7840941,278
13,Chr3,2752906,2757112,2755009,4206
13,Chr3,8619499,8619766,8619633,267
13,Chr4,5709729,5710119,5709924,390
13,Chr5,4958282,4960223,4959252,1941
13,Chr5,24082149,24082800,24082475,651
14,Chr1,3727779,3728128,3727953,349
14,Chr1,17900048,17900127,17900088,79
14,Chr2,8706839,8706906,8706873,67
14,Chr3,9531921,9532471,9532196,550
14,Chr3,16885817,16886171,16885994,354
14,Chr4,10713555,10713578,10713567,23
14,Chr4,11828074,11828265,11828170,191
14,Chr5,9712714,9712752,9712733,38
15,Chr1,23267646,23268269,23267958,623
15,Chr2,12009421,12010188,12009805,767
15,Chr3,4746849,4747120,4746985,271
15,Chr3,10144045,10144141,10144093,96
15,Chr3,20418007,20418124,20418065,117
15,Chr4,8882170,8882390,8882280,220
15,Chr5,5301321,5301461,5301391,140
15,Chr5,22277559,22278703,22278131,1144
16,Chr1,8308193,8308560,8308377,367
16,Chr1,19973483,19974306,19973895,823
16,Chr1,27139393,27141059,27140226,1666
16,Chr2,12962714,12962856,12962785,142
16,Chr2,14983338,14983437,14983388,99
16,Chr3,18515877,18516310,18516093,433
16,Chr3,20695766,20696695,20696230,929
16,Chr4,841652,841818,841735,166
16,Chr4,7729653,7729772,7729713,119
16,Chr4,17157768,17158175,17157972,407
16,Chr5,2130143,2130491,2130317,348
16,Chr5,22571842,22573256,22572549,1414
17,Chr1,5539499,5539807,5539653,308
17,Chr1,22319550,22321356,22320453,1806
17,Chr2,1059459,1059538,1059499,79
17,Chr2,9340518,9341893,9341206,1375
17,Chr2,9753965,9754000,9753983,35
17,Chr2,16030191,16030530,16030361,339
17,Chr3,953374,954306,953840,932
17,Chr4,16742996,16743047,16743022,51
17,Chr5,4484697,4485229,4484963,532
17,Chr5,7013144,7013175,7013160,31
17,Chr5,15131942,15132258,15132100,316
17,Chr5,22850127,22850139,22850133,12
17,Chr5,26280965,26281017,26280991,52
18,Chr1,24631883,24632225,24632054,342
18,Chr1,28972720,28975601,28974160,2881
18,Chr2,8333300,8333707,8333504,407
18,Chr2,9905177,9905215,9905196,38
18,Chr2,11857425,11859173,11858299,1748
18,Chr3,285236,286076,285656,840
18,Chr3,19192218,19192458,19192338,240
18,Chr4,5373673,5373979,5373826,306
18,Chr4,7321577,7322020,7321799,443
18,Chr4,7911566,7911956,7911761,390
18,Chr4,11271158,11271923,11271540,765
18,Chr5,2318157,2318617,2318387,460
18,Chr5,10659245,10659275,10659260,30
18,Chr5,19969947,19970772,19970359,825
19,Chr1,8060291,8060647,8060469,356
19,Chr1,11815290,11815778,11815534,488
19,Chr1,21321885,21321900,21321893,15
19,Chr1,30280707,30280986,30280847,279
19,Chr2,8026106,8026645,8026376,539
19,Chr2,10549562,10549875,10549718,313
19,Chr2,15382337,15382365,15382351,28
19,Chr3,3070215,3071038,3070627,823
19,Chr3,10591426,10591461,10591444,35
19,Chr3,18808624,18808966,18808795,342
19,Chr4,278040,278364,278202,324
19,Chr4,9401251,9401286,9401269,35
19,Chr4,17466311,17466893,17466602,582
19,Chr5,947184,948924,948054,1740
19,Chr5,2031957,2032868,2032413,911
19,Chr5,15757694,15757740,15757717,46
2,Chr1,5876539,5876608,5876573,69
2,Chr1,7843632,7843998,7843815,366
2,Chr1,20431340,20431467,20431404,127
2,Chr2,2322170,2322601,2322386,431
2,Chr3,3651457,3652132,3651795,675
2,Chr3,22382411,22391622,22387017,9211
2,Chr4,367468,367819,367644,351
2,Chr4,14408326,14408797,14408562,471
2,Chr5,8970503,8981546,8976025,11043
2,Chr5,19797294,19800748,19799021,3454
20,Chr1,7491737,7491756,7491747,19
20,Chr1,10708250,10708275,10708262,25
20,Chr1,12250008,12250429,12250218,421
20,Chr2,8104251,8105171,8104711,920
20,Chr2,10196096,10197671,10196884,1575
20,Chr2,18819833,18820408,18820121,575
20,Chr3,3130582,3130844,3130713,262
20,Chr3,8124296,8125246,8124771,950
20,Chr3,10993439,10993469,10993454,30
20,Chr3,20315010,20317049,20316030,2039
20,Chr4,1030745,1031358,1031051,613
20,Chr4,12965613,12966506,12966059,893
20,Chr5,7752283,7752439,7752361,156
21,Chr1,11015036,11015100,11015068,64
21,Chr1,23367624,23367656,23367640,32
21,Chr2,12283272,12283768,12283520,496
21,Chr2,17290948,17311215,17301082,20267
21,Chr4,658198,658358,658278,160
21,Chr4,7924918,7924936,7924927,18
21,Chr5,10292148,10292522,10292335,374
21,Chr5,13865992,13866410,13866201,418
22,Chr1,9259232,9260438,9259835,1206
22,Chr1,10045695,10046578,10046137,883
22,Chr1,19556995,19557024,19557009,29
22,Chr1,21144876,21145092,21144984,216
22,Chr1,25318917,25319517,25319217,600
22,Chr2,289902,290715,290308,813
22,Chr2,11688106,11688177,11688142,71
22,Chr3,323720,324242,323981,522
22,Chr3,23161891,23162438,23162165,547
22,Chr4,16565580,16565643,16565612,63
22,Chr5,2006913,2007745,2007329,832
22,Chr5,18989673,18989730,18989701,57
22,Chr5,20474479,20474798,20474639,319
23,Chr1,8702166,8703142,8702654,976
23,Chr1,16133722,16134080,16133901,358
23,Chr1,23117365,23117680,23117523,315
23,Chr1,24223865,24223963,24223914,98
23,Chr2,6833230,6833577,6833404,347
23,Chr2,11098534,11099246,11098890,712
23,Chr2,17230714,17234087,17232400,3373
23,Chr3,2253489,2253523,2253506,34
23,Chr3,17910476,17910706,17910591,230
23,Chr4,8857712,8857993,8857852,281
23,Chr4,17658182,17658972,17658577,790
23,Chr4,18519547,18521001,18520274,1454
23,Chr5,8705987,8706711,8706349,724
23,Chr5,21852876,21853203,21853040,327
23,Chr5,25904782,25904809,25904796,27
24,Chr1,8599719,8599727,8599723,8
24,Chr1,29957835,29962226,29960031,4391
24,Chr2,16418564,16418746,16418655,182
24,Chr3,5479537,5479869,5479703,332
24,Chr3,21500363,21513104,21506733,12741
24,Chr3,22712568,22712715,22712642,147
24,Chr4,6439403,6439897,6439650,494
24,Chr4,11918666,11919949,11919308,1283
24,Chr5,7971944,7972225,7972084,281
25,Chr1,18128622,18129787,18129204,1165
25,Chr1,29489384,29489466,29489425,82
25,Chr2,391724,393300,392512,1576
25,Chr2,8911133,8911390,8911261,257
25,Chr2,19217319,19217919,19217619,600
25,Chr3,3606087,3606272,3606179,185
25,Chr3,11002619,11003040,11002829,421
25,Chr3,17478713,17479003,17478858,290
25,Chr4,7404331,7406869,7405600,2538
25,Chr5,8035827,8036417,8036122,590
25,Chr5,20802806,20802935,20802870,129
26,Chr1,7665786,7665806,7665796,20
26,Chr1,11314895,11318153,11316524,3258
26,Chr1,21887740,21887792,21887766,52
26,Chr1,27834044,27834373,27834208,329
26,Chr2,2322170,2322601,2322386,431
26,Chr2,15192193,15192571,15192382,378
26,Chr3,1221695,1221912,1221803,217
26,Chr3,20471165,20471922,20471543,757
26,Chr4,17633076,17633225,17633150,149
26,Chr5,733600,734018,733809,418
26,Chr5,22183173,22183419,22183296,246
27,Chr1,19615342,19617482,19616412,2140
27,Chr1,20774961,20775072,20775017,111
27,Chr1,25695371,25695774,25695573,403
27,Chr2,397692,397738,397715,46
27,Chr2,12766466,12766743,12766604,277
27,Chr2,17243649,17243652,17243651,3
27,Chr3,1845347,1845467,1845407,120
27,Chr3,3414256,3415548,3414902,1292
27,Chr4,676085,676616,676351,531
27,Chr4,10075524,10076287,10075906,763
27,Chr4,16260138,16260607,16260372,469
27,Chr5,4426143,4427543,4426843,1400
27,Chr5,24683939,24690168,24687053,6229
28,Chr1,8653403,8653578,8653491,175
28,Chr2,7414701,7414846,7414773,145
28,Chr2,8383687,8383890,8383789,203
28,Chr2,15718934,15719091,15719012,157
28,Chr2,19393860,19394113,19393986,253
28,Chr3,19501352,19501407,19501380,55
28,Chr4,5447789,5448146,5447967,357
28,Chr4,6416513,6416737,6416625,224
28,Chr5,20728977,20743993,20736485,15016
28,Chr5,25656566,25656861,25656714,295
28,Chr5,26229856,26229959,26229908,103
29,Chr1,23799343,23800341,23799842,998
29,Chr1,27537044,27537234,27537139,190
29,Chr2,12807604,12807644,12807624,40
29,Chr2,18557289,18559004,18558147,1715
29,Chr3,2510465,2512365,2511415,1900
29,Chr4,651345,651556,651451,211
29,Chr4,17050722,17051775,17051248,1053
29,Chr5,2193651,2193836,2193743,185
3,Chr1,29358661,29358745,29358703,84
3,Chr2,7803085,7803108,7803097,23
3,Chr4,5659804,5660121,5659962,317
3,Chr5,23226922,23226975,23226948,53
30,Chr1,9387685,9387715,9387700,30
30,Chr1,9839668,9839713,9839690,45
30,Chr1,28441219,28441659,28441439,440
30,Chr1,28913645,28914399,28914022,754
30,Chr2,756193,756251,756222,58
30,Chr3,1455461,1456526,1455993,1065
30,Chr3,17590969,17591206,17591087,237
30,Chr4,13339272,13339878,13339575,606
30,Chr4,17536814,17537246,17537030,432
30,Chr5,629706,629738,629722,32
30,Chr5,20291884,20293412,20292648,1528
31,Chr1,5005687,5008849,5007268,3162
31,Chr1,8346100,8346456,8346278,356
31,Chr1,25250334,25250563,25250448,229
31,Chr2,9391274,9391856,9391565,582
31,Chr3,15406152,15406362,15406257,210
31,Chr4,1271659,1272732,1272195,1073
32,Chr1,6947055,6949353,6948204,2298
32,Chr1,26619364,26620446,26619905,1082
32,Chr3,2093491,2093848,2093669,357
