lib,chrs,start,stop,cos,width
1,Chr1,6625206,6625801,6625504,595
1,Chr3,1055555,1055777,1055666,222
1,Chr3,11010533,11011282,11010907,749
1,Chr3,15569055,15569264,15569159,209
1,Chr4,1508037,1508284,1508161,247
1,Chr5,14104483,14105415,14104949,932
1,Chr5,21504598,21504921,21504760,323
10,Chr1,19849851,19849855,19849853,4
10,Chr2,9987868,9987872,9987870,4
10,Chr2,12293246,12294066,12293656,820
10,Chr4,5183574,5184244,5183909,670
10,Chr5,9969044,9969375,9969210,331
10,Chr5,22277559,22278703,22278131,1144
11,Chr1,1696028,1696198,1696113,170
11,Chr3,17254846,17258036,17256441,3190
11,Chr4,5365189,5365304,5365247,115
11,Chr5,8030776,8030928,8030852,152
11,Chr5,13230948,13231039,13230994,91
11,Chr5,18065052,18065172,18065112,120
11,Chr5,23081094,23081897,23081496,803
12,Chr1,11196183,11196559,11196371,376
12,Chr1,24581908,24582693,24582300,785
12,Chr3,1121465,1122294,1121879,829
12,Chr3,14811793,14812859,14812326,1066
12,Chr3,15703814,15705362,15704588,1548
12,Chr4,17239446,17240357,17239902,911
12,Chr5,8419098,8419338,8419218,240
12,Chr5,21191754,21192372,21192063,618
13,Chr1,8354852,8355045,8354948,193
13,Chr1,16643504,16643665,16643584,161
13,Chr1,23577940,23578489,23578214,549
13,Chr1,29878497,29879361,29878929,864
13,Chr2,6916607,6916706,6916657,99
13,Chr3,23176452,23176940,23176696,488
13,Chr4,16693938,16694586,16694262,648
13,Chr5,7811026,7812011,7811518,985
13,Chr5,21292983,21293186,21293085,203
14,Chr2,7052937,7053014,7052975,77
14,Chr2,17993164,17995439,17994302,2275
14,Chr2,19246564,19247800,19247182,1236
14,Chr3,809961,810135,810048,174
14,Chr3,15991816,15994063,15992940,2247
14,Chr4,6964554,6964681,6964618,127
15,Chr1,3561504,3562114,3561809,610
15,Chr1,4872272,4872961,4872616,689
15,Chr1,8946816,8947867,8947342,1051
15,Chr1,20445369,20446829,20446099,1460
15,Chr1,25258718,25260660,25259689,1942
15,Chr3,10738349,10738388,10738369,39
15,Chr3,18676303,18676322,18676313,19
15,Chr4,1048582,1048971,1048776,389
15,Chr4,17413867,17414726,17414297,859
15,Chr5,7752283,7752439,7752361,156
15,Chr5,14717937,14718224,14718081,287
15,Chr5,22191807,22192081,22191944,274
15,Chr5,25197899,25199080,25198489,1181
16,Chr1,4889209,4890219,4889714,1010
16,Chr1,12183347,12184393,12183870,1046
16,Chr1,29468158,29468474,29468316,316
16,Chr2,19014885,19014963,19014924,78
16,Chr3,15665059,15666043,15665551,984
16,Chr3,20379241,20380359,20379800,1118
16,Chr4,5143324,5143455,5143390,131
16,Chr5,25921384,25922647,25922016,1263
17,Chr1,6315038,6315442,6315240,404
17,Chr1,20785180,20785619,20785400,439
17,Chr2,12353512,12354308,12353910,796
17,Chr4,1397847,1397954,1397901,107
17,Chr4,12102390,12102917,12102654,527
17,Chr4,18209239,18210972,18210105,1733
17,Chr5,9868076,9869689,9868882,1613
18,Chr1,8448407,8448613,8448510,206
18,Chr1,16813509,16813871,16813690,362
18,Chr1,24538854,24541819,24540336,2965
18,Chr2,6542501,6542833,6542667,332
18,Chr3,15502186,15502255,15502220,69
18,Chr4,14769226,14773912,14771569,4686
18,Chr5,3141165,3141794,3141479,629
18,Chr5,16163277,16163721,16163499,444
19,Chr1,8655687,8655715,8655701,28
19,Chr1,23138212,23138507,23138360,295
19,Chr2,584278,584455,584366,177
19,Chr2,11650786,11650852,11650819,66
19,Chr3,18835469,18835787,18835628,318
19,Chr5,10238732,10239128,10238930,396
19,Chr5,21138846,21139502,21139174,656
2,Chr1,16430200,16430791,16430496,591
2,Chr2,970449,970554,970501,105
2,Chr2,6669063,6669805,6669434,742
2,Chr2,11565998,11566529,11566264,531
2,Chr3,513431,513600,513515,169
2,Chr3,10355181,10355324,10355253,143
2,Chr3,22369129,22371553,22370341,2424
2,Chr4,1197316,1197362,1197339,46
2,Chr5,13880957,13882391,13881674,1434
20,Chr1,432021,432547,432284,526
20,Chr1,17252565,17252626,17252595,61
20,Chr1,20236721,20236779,20236750,58
20,Chr1,29163082,29163173,29163128,91
20,Chr2,12430587,12430748,12430667,161
20,Chr3,17479224,17479256,17479240,32
20,Chr4,6752117,6752193,6752155,76
21,Chr1,562860,563367,563114,507
21,Chr2,1867137,1867994,1867565,857
21,Chr2,7995138,7995274,7995206,136
21,Chr2,10800209,10800429,10800319,220
21,Chr3,3614332,3614825,3614578,493
21,Chr3,9423138,9425914,9424526,2776
21,Chr3,21656386,21677904,21667145,21518
21,Chr4,5700959,5701150,5701055,191
21,Chr4,7369829,7370740,7370285,911
21,Chr5,494318,497380,495849,3062
21,Chr5,6414528,6414575,6414552,47
21,Chr5,9076686,9077649,9077168,963
21,Chr5,26729049,26729813,26729431,764
22,Chr1,1147537,1148269,1147903,732
22,Chr2,7365632,7365944,7365788,312
22,Chr3,17997323,17997566,17997445,243
22,Chr5,26817862,26818104,26817983,242
23,Chr1,8699720,8699795,8699758,75
23,Chr2,1693043,1696398,1694721,3355
23,Chr2,7106499,7107182,7106841,683
23,Chr3,909390,910246,909818,856
23,Chr3,8858623,8858872,8858747,249
23,Chr3,19948548,19948807,19948678,259
23,Chr4,7807771,7808014,7807893,243
23,Chr4,18183975,18185822,18184899,1847
23,Chr5,20721947,20722285,20722116,338
24,Chr1,23513942,23514372,23514157,430
24,Chr3,16940390,16940793,16940592,403
24,Chr4,1306905,1308587,1307746,1682
24,Chr4,5986030,5986330,5986180,300
24,Chr4,10849304,10849382,10849343,78
24,Chr5,6981844,6982037,6981940,193
25,Chr1,17768126,17768443,17768284,317
25,Chr1,27979725,27980152,27979939,427
25,Chr2,19354836,19354940,19354888,104
25,Chr3,12597801,12598950,12598375,1149
25,Chr4,177047,177244,177145,197
25,Chr4,739223,739367,739295,144
25,Chr4,14277732,14277738,14277735,6
25,Chr5,8557401,8559368,8558385,1967
26,Chr1,11061304,11062278,11061791,974
26,Chr2,2024893,2071438,2048165,46545
26,Chr2,15515610,15515736,15515673,126
26,Chr3,2076039,2076180,2076109,141
26,Chr3,10742051,10742318,10742185,267
26,Chr4,5301387,5301856,5301621,469
26,Chr4,9991654,9993665,9992660,2011
26,Chr5,8676685,8677442,8677063,757
27,Chr1,13999200,15983742,14991471,1984542
27,Chr1,23495517,23496852,23496185,1335
27,Chr3,3948135,3948751,3948443,616
27,Chr3,23261142,23261229,23261186,87
27,Chr5,2449765,2451940,2450853,2175
27,Chr5,21244874,21250196,21247535,5322
28,Chr1,6621623,6622215,6621919,592
28,Chr1,8937260,8938844,8938052,1584
28,Chr4,5300356,5300575,5300466,219
28,Chr4,11256462,11256548,11256505,86
29,Chr1,9897382,9898891,9898136,1509
29,Chr1,19694584,19695428,19695006,844
29,Chr2,19556968,19557034,19557001,66
29,Chr5,21120766,21120893,21120830,127
3,Chr2,7231417,7231446,7231431,29
3,Chr2,17748864,17755511,17752188,6647
3,Chr3,9836293,9836333,9836313,40
3,Chr4,18206405,18208163,18207284,1758
3,Chr5,8146241,8146842,8146541,601
3,Chr5,25975808,25976643,25976226,835
30,Chr1,13683572,13689385,13686478,5813
30,Chr1,27095306,27095813,27095560,507
30,Chr2,6686955,6686957,6686956,2
30,Chr2,11797597,11797697,11797647,100
30,Chr3,9836333,9837698,9837015,1365
30,Chr3,10361673,10362105,10361889,432
30,Chr5,13593377,13593668,13593523,291
30,Chr5,25739216,25739673,25739444,457
31,Chr1,4233888,4235774,4234831,1886
31,Chr1,21933505,21935211,21934358,1706
31,Chr1,29368595,29368894,29368745,299
31,Chr2,448940,448998,448969,58
31,Chr2,9977107,9977156,9977131,49
31,Chr3,8064661,8065655,8065158,994
31,Chr4,10751900,10752203,10752052,303
31,Chr5,22954982,22955807,22955394,825
32,Chr1,8405137,8431089,8418113,25952
32,Chr1,16471958,16472503,16472230,545
32,Chr1,23189519,23189900,23189709,381
32,Chr2,362656,365116,363886,2460
32,Chr2,12783726,12784025,12783876,299
32,Chr3,1755396,1755580,1755488,184
32,Chr3,7213724,7214290,7214007,566
32,Chr4,12087886,12088745,12088316,859
32,Chr5,8379288,8379646,8379467,358
33,Chr1,1461286,1461848,1461567,562
33,Chr1,8901085,8909492,8905289,8407
33,Chr2,811008,812905,811956,1897
33,Chr2,9859106,9861187,9860146,2081
33,Chr3,8922751,8923137,8922944,386
33,Chr3,11811085,11811148,11811117,63
33,Chr3,22187889,22188747,22188318,858
33,Chr4,130310,130947,130628,637
33,Chr4,17442797,17442975,17442886,178
33,Chr5,939862,940266,940064,404
33,Chr5,8874155,8876444,8875299,2289
33,Chr5,20941287,20941544,20941415,257
34,Chr1,4233446,4233888,4233667,442
34,Chr2,393806,397399,395602,3593
34,Chr3,5566821,5567037,5566929,216
34,Chr3,9377671,9377864,9377767,193
34,Chr3,10767910,10772633,10770272,4723
34,Chr4,9320279,9320382,9320331,103
34,Chr5,155033,155384,155209,351
34,Chr5,8581361,8581461,8581411,100
35,Chr1,16707916,16708925,16708420,1009
35,Chr1,20021336,20021721,20021528,385
35,Chr2,6778351,6778527,6778439,176
35,Chr2,12292753,12293246,12292999,493
35,Chr3,8876464,8878314,8877389,1850
35,Chr3,10047717,10048158,10047937,441
35,Chr5,15471232,15471301,15471266,69
36,Chr1,2613673,2613733,2613703,60
36,Chr1,8180027,8181523,8180775,1496
36,Chr1,24871132,24877256,24874194,6124
36,Chr2,9523800,9525938,9524869,2138
36,Chr2,17251808,17320860,17286334,69052
36,Chr3,17556913,17558484,17557699,1571
36,Chr4,1037274,1037435,1037354,161
36,Chr4,5371250,5371418,5371334,168
36,Chr5,13880021,13880178,13880099,157
37,Chr1,10416126,10416694,10416410,568
37,Chr2,6544373,6544638,6544505,265
37,Chr3,11395583,11395728,11395655,145
37,Chr4,11734781,11735507,11735144,726
38,Chr1,11474185,11475408,11474797,1223
38,Chr1,11610967,11611886,11611427,919
38,Chr2,6090218,6090272,6090245,54
38,Chr3,1440156,1440308,1440232,152
38,Chr3,19858407,19859025,19858716,618
38,Chr4,11860372,11862501,11861436,2129
38,Chr4,17802729,17802898,17802813,169
39,Chr1,4296378,4297086,4296732,708
39,Chr1,7172709,7174610,7173659,1901
39,Chr1,8941255,8941403,8941329,148
39,Chr2,407539,407596,407567,57
39,Chr2,674936,675069,675002,133
39,Chr3,3046687,3047632,3047159,945
39,Chr3,15673993,15674759,15674376,766
39,Chr5,17654288,17654434,17654361,146
4,Chr1,7118491,7120370,7119431,1879
4,Chr1,18364561,18365892,18365227,1331
4,Chr2,8093964,8094161,8094062,197
4,Chr3,6249723,6249982,6249853,259
4,Chr4,7784029,7785146,7784587,1117
4,Chr5,4647184,4647800,4647492,616
4,Chr5,17606521,17607351,17606936,830
40,Chr1,1636129,1638242,1637185,2113
40,Chr1,22782428,22783568,22782998,1140
40,Chr2,1123201,1124107,1123654,906
40,Chr2,6035326,6035766,6035546,440
40,Chr2,12338968,12339408,12339188,440
40,Chr3,16107981,16108235,16108108,254
40,Chr4,17361281,17361409,17361345,128
40,Chr5,2630662,2630815,2630738,153
40,Chr5,26505939,26506415,26506177,476
41,Chr1,17061140,17061559,17061350,419
41,Chr1,28915921,28916365,28916143,444
41,Chr2,6761233,6761284,6761259,51
41,Chr3,497885,500016,498951,2131
41,Chr3,6439892,6440988,6440440,1096
41,Chr4,5233063,5234821,5233942,1758
41,Chr4,11753969,11754429,11754199,460
41,Chr5,8912309,8912768,8912539,459
41,Chr5,14540899,14541393,14541146,494
41,Chr5,26625640,26626889,26626264,1249
42,Chr1,21442804,21443701,21443252,897
42,Chr1,26729509,26729555,26729532,46
42,Chr4,8908056,8908558,8908307,502
43,Chr1,11223660,11223888,11223774,228
43,Chr2,10350602,10350726,10350664,124
43,Chr3,8712101,8712338,8712219,237
44,Chr1,12974080,12974439,12974260,359
44,Chr1,24787980,24788480,24788230,500
44,Chr2,9511031,9511103,9511067,72
44,Chr3,8688052,8689343,8688698,1291
44,Chr5,26291554,26292136,26291845,582
44,Chr5,26807852,26807984,26807918,132
45,Chr1,7638527,7639278,7638903,751
45,Chr1,30222052,30222103,30222078,51
45,Chr2,9908718,9908885,9908802,167
45,Chr3,469136,469557,469346,421
45,Chr3,16741780,16741818,16741799,38
45,Chr3,16755286,16755472,16755379,186
45,Chr5,541756,544105,542930,2349
45,Chr5,8049326,8049910,8049618,584
45,Chr5,21298409,21298738,21298573,329
46,Chr1,12548166,12548554,12548360,388
