lib,chrs,start,stop,cos,width
1,Chr1,18294901,18295957,18295429,1056
1,Chr2,12959770,12959982,12959876,212
1,Chr3,20578654,20578820,20578737,166
10,Chr2,11306844,11307230,11307037,386
10,Chr3,22204231,22204274,22204253,43
10,Chr4,9143537,9144257,9143897,720
10,Chr5,21631690,21632248,21631969,558
10,Chr5,26244607,26245196,26244901,589
11,Chr1,1817671,1817746,1817709,75
11,Chr1,17691423,17691495,17691459,72
11,Chr3,3061251,3061263,3061257,12
11,Chr4,8465638,8465695,8465666,57
11,Chr5,13880957,13882391,13881674,1434
11,Chr5,17450753,17451670,17451211,917
11,Chr5,22315225,22315364,22315295,139
12,Chr1,6812214,6813411,6812812,1197
12,Chr2,10744960,10745103,10745032,143
12,Chr2,17612662,17612750,17612706,88
12,Chr4,13001265,13001910,13001587,645
12,Chr5,6287871,6288209,6288040,338
12,Chr5,26787751,26787989,26787870,238
13,Chr1,3639124,3639596,3639360,472
13,Chr1,24317357,24317388,24317373,31
13,Chr2,10754057,10754351,10754204,294
13,Chr3,9741122,9741855,9741488,733
14,Chr1,1825034,1826668,1825851,1634
14,Chr2,13673498,13673564,13673531,66
14,Chr3,16920472,16920589,16920530,117
14,Chr4,10716357,10716389,10716373,32
14,Chr5,4898121,4898783,4898452,662
14,Chr5,9290037,9290327,9290182,290
14,Chr5,22360855,22360922,22360889,67
15,Chr1,5002166,5005687,5003926,3521
15,Chr1,8119850,8120339,8120094,489
15,Chr1,25229677,25230255,25229966,578
15,Chr4,6718347,6718712,6718529,365
15,Chr4,11958888,11958971,11958930,83
16,Chr1,11819706,11821919,11820812,2213
16,Chr1,13049585,13049945,13049765,360
16,Chr2,15133911,15135024,15134467,1113
16,Chr3,18962869,18963441,18963155,572
16,Chr4,7429444,7429864,7429654,420
17,Chr1,18741482,18741846,18741664,364
17,Chr2,8184888,8185321,8185104,433
17,Chr4,17531934,17532436,17532185,502
17,Chr5,14292440,14292660,14292550,220
17,Chr5,16054945,16055209,16055077,264
18,Chr1,13142745,13143966,13143355,1221
19,Chr4,7371829,7372359,7372094,530
19,Chr5,20891944,20892259,20892102,315
2,Chr1,24439387,24439520,24439453,133
2,Chr2,15520757,15521523,15521140,766
2,Chr3,7194283,7194558,7194421,275
2,Chr5,9546464,9546603,9546534,139
20,Chr1,11116278,11116482,11116380,204
20,Chr4,10768368,10768817,10768592,449
20,Chr5,1750107,1753947,1752027,3840
21,Chr1,3882964,3883752,3883358,788
21,Chr1,21947588,21948761,21948174,1173
21,Chr2,15783169,15783628,15783399,459
21,Chr3,4076506,4076770,4076638,264
21,Chr3,11010533,11011282,11010907,749
21,Chr4,13530274,13531246,13530760,972
21,Chr5,7911777,7911910,7911843,133
21,Chr5,13768645,13770925,13769785,2280
22,Chr1,10535572,10536895,10536234,1323
22,Chr2,397399,397692,397545,293
22,Chr2,12935819,12936258,12936039,439
22,Chr3,16135217,16135537,16135377,320
22,Chr5,20508178,20508192,20508185,14
23,Chr1,11444701,11444753,11444727,52
23,Chr1,21511467,21511727,21511597,260
23,Chr2,8567041,8567182,8567111,141
23,Chr3,6182739,6183381,6183060,642
23,Chr3,16188125,16188143,16188134,18
23,Chr4,11422389,11423106,11422747,717
23,Chr5,15200355,15200454,15200405,99
24,Chr1,3679682,3680796,3680239,1114
24,Chr1,18481510,18481743,18481626,233
24,Chr3,11094540,11096347,11095444,1807
24,Chr4,5153154,5153155,5153154,1
